SN1: c:-0.337626272821 t0:57869.5509098 x0:0.0174851985356 x1:3.0923219393 z:0.0152057551133 
SN2: c:0.176860649728 t0:57922.7951995 x0:0.000450867408134 x1:-0.0113199394444 z:0.091891543812 
SN3: c:0.253857181217 t0:58101.0856868 x0:0.000504948008236 x1:5.3445006413 z:0.0869956938806 
SN4: c:0.213266707959 t0:57920.5739151 x0:0.000808736875233 x1:2.54804461108 z:0.0692169397736 
SN5: c:-0.170288217198 t0:58003.0434251 x0:0.000820315559304 x1:-4.72258054704 z:0.0687394825185 
SN6: c:-0.603994029148 t0:57759.7706395 x0:0.000392051888788 x1:-1.07635591776 z:0.0983004814561 
SN7: c:0.0604799521689 t0:57847.509281 x0:0.000663311752292 x1:3.06937442075 z:0.0762210323196 
SN8: c:-0.253104844944 t0:57818.2916676 x0:0.000836330791401 x1:-5.02597542854 z:0.0680952201289 
SN9: c:-0.106619098776 t0:57826.2623767 x0:0.0011786051562 x1:-2.30652232888 z:0.0575970841015 
SN10: c:-0.0765116649508 t0:58115.9458459 x0:0.0119636896118 x1:0.182881203745 z:0.0183597370998 
SN11: c:0.198131313514 t0:58036.0226605 x0:0.00136543914753 x1:0.615683321657 z:0.0535955226907 
SN12: c:0.120422435052 t0:57789.5391859 x0:0.000720372837618 x1:-7.58264319288 z:0.0732251618156 
SN13: c:0.241144679778 t0:57932.4685832 x0:0.000522693705304 x1:-3.30525657261 z:0.0855538526007 
SN14: c:-0.473350144807 t0:58116.7408911 x0:0.000681553325957 x1:-5.07370423851 z:0.0752232324143 
SN15: c:-0.677371557608 t0:57968.8726719 x0:0.248035392835 x1:-1.79581705831 z:0.00405523532689 
SN16: c:-0.250649352167 t0:58044.8196523 x0:0.000687123906847 x1:-2.18787434179 z:0.0749263292512 
SN17: c:-0.0891284936196 t0:58087.6759639 x0:0.00166731961109 x1:2.18635706988 z:0.0485966417166 
SN18: c:0.159085163058 t0:58005.3859302 x0:0.00039500734623 x1:-4.52947447604 z:0.0979454313059 
SN19: c:-0.225199360593 t0:57850.0634463 x0:0.00039674856364 x1:4.97236947161 z:0.097738068799 
SN20: c:-0.101686179715 t0:57794.6416055 x0:0.00138851589718 x1:0.151516678597 z:0.0531574054437 
SN21: c:0.0350054668095 t0:58100.0981913 x0:0.212646480084 x1:0.937747087196 z:0.00437912779448 
SN22: c:-0.0938519810546 t0:57870.8735912 x0:0.0126728835094 x1:2.87790155294 z:0.0178422881612 
SN23: c:-0.327641244474 t0:57769.7922824 x0:0.00118391549366 x1:1.76558724283 z:0.0574706078668 
SN24: c:0.0449557940244 t0:58113.4804322 x0:0.061294044553 x1:2.55454791469 z:0.00814432565314 
SN25: c:0.583174301206 t0:58030.3888796 x0:0.000579540071587 x1:0.374472773896 z:0.0813809868588 
SN26: c:0.150230191987 t0:58052.2862957 x0:0.0184837312026 x1:1.19425561732 z:0.0147917630989 
SN27: c:-0.245422537612 t0:57794.2655318 x0:0.00118989088104 x1:0.175166395407 z:0.0573292912665 
SN28: c:-0.0862378884719 t0:57952.4507204 x0:0.00483958148145 x1:6.30724577944 z:0.0287479805198 
SN29: c:0.103199638683 t0:57998.5440733 x0:0.000447480545339 x1:2.70306089816 z:0.0922267134982 
SN30: c:0.107957925382 t0:57914.1046943 x0:0.0012379368272 x1:0.313362030927 z:0.0562299419233 
