SN1: c:-0.21914892168 t0:58051.5233825 x0:0.000465005969264 x1:-0.551427561948 z:0.0880844076329 
SN2: c:0.229824988119 t0:57894.1092925 x0:0.000670314282208 x1:1.12443731929 z:0.0740942877023 
SN3: c:0.137510756135 t0:57763.7958291 x0:0.00327668713776 x1:-1.43592337668 z:0.0344829781539 
SN4: c:0.00747675007453 t0:58066.930134 x0:0.000652666224417 x1:0.551444741498 z:0.0750389904201 
SN5: c:0.141749761448 t0:58060.9479715 x0:0.229570542982 x1:1.48673887642 z:0.00421291933752 
SN6: c:0.326068349621 t0:58031.2370401 x0:0.00307948610198 x1:-3.40672589437 z:0.0355424107408 
SN7: c:0.0523285800231 t0:57982.1839802 x0:0.000841379050965 x1:4.58100470387 z:0.0664935992078 
SN8: c:0.0360846166327 t0:58051.0519036 x0:0.00261967546274 x1:-3.25838239276 z:0.0384538257755 
SN9: c:-0.0790895166984 t0:57971.1833839 x0:0.0180014432635 x1:-1.37385963888 z:0.014925303111 
SN10: c:0.0144241763866 t0:58038.2243123 x0:0.00143573443859 x1:-1.687920591 z:0.0514552280389 
SN11: c:-0.154575540844 t0:57779.5304219 x0:0.00501984295804 x1:2.63831208539 z:0.0279925754958 
SN12: c:0.477102124738 t0:57898.8852868 x0:0.00101353566877 x1:2.21740494005 z:0.0608298714368 
SN13: c:0.0327574906173 t0:58072.1832574 x0:0.0992086166336 x1:-2.8355424083 z:0.00639819627221 
SN14: c:0.0196446293683 t0:57878.5746873 x0:0.613895644724 x1:1.462273462 z:0.0025794354052 
SN15: c:0.643354216774 t0:57851.4774127 x0:0.00377716339013 x1:0.375792331652 z:0.0321716878602 
SN16: c:-0.0319798103567 t0:57947.8491941 x0:0.000533192863128 x1:4.21891292267 z:0.0825793387985 
SN17: c:0.107573075221 t0:57777.6676686 x0:0.000526297628651 x1:-0.314579610728 z:0.0830886438199 
SN18: c:0.693109488612 t0:57997.1497152 x0:0.000574723231408 x1:-2.46583039584 z:0.0797017248773 
SN19: c:0.429184747818 t0:57860.2483375 x0:0.00342020037384 x1:0.848630484782 z:0.0337693819895 
SN20: c:0.00853275893603 t0:57903.0734058 x0:0.000582590244623 x1:-2.52743306421 z:0.0791904240604 
SN21: c:-0.194640481665 t0:57832.0578698 x0:0.000373454652807 x1:-0.342021532353 z:0.0976340619377 
SN22: c:-0.0294331722117 t0:57756.4791998 x0:0.000383666480778 x1:2.65164910089 z:0.0964085320421 
SN23: c:-0.606183582449 t0:57854.3870369 x0:0.0116423281068 x1:-5.78948229057 z:0.0185098879092 
SN24: c:0.223744130662 t0:57782.9843459 x0:0.0366938682712 x1:0.37512092378 z:0.010488457093 
SN25: c:-0.0848727149205 t0:58014.2803663 x0:0.00136609462435 x1:-2.44099802202 z:0.0527029638038 
