SN1: c:-0.361309004795 t0:57830.4400474 x0:0.0018898384505 x1:-0.206850769243 z:0.04569803916 
SN2: c:-0.0366466363048 t0:57938.8256486 x0:0.000479503887118 x1:-1.88341043277 z:0.0891980691518 
SN3: c:-0.644673460785 t0:58014.0650492 x0:0.000531276245688 x1:-1.03121237776 z:0.0848820508296 
SN4: c:-0.379350293805 t0:57922.0706433 x0:0.00924005161079 x1:1.81563969464 z:0.0208703191599 
SN5: c:-0.392532416402 t0:58034.0036939 x0:0.00207456975126 x1:-0.656454487345 z:0.0436511039489 
SN6: c:-0.271089107894 t0:58066.2969357 x0:0.000603881384165 x1:-2.8036579313 z:0.0797736334495 
SN7: c:-0.243664852102 t0:57805.3059039 x0:0.00384929398227 x1:0.88134209088 z:0.0321906578033 
SN8: c:0.587457278314 t0:57980.90824 x0:0.00210370742546 x1:-2.53184094755 z:0.0433528357752 
SN9: c:-0.0927547302135 t0:58041.9226495 x0:0.00310306709453 x1:-7.77174797138 z:0.0358018847887 
SN10: c:0.391473627008 t0:57989.4396034 x0:0.000869128649328 x1:3.05914137343 z:0.0668309288712 
SN11: c:0.254352377335 t0:57902.3194151 x0:0.000528597754773 x1:2.23724208495 z:0.0850899896765 
SN12: c:-0.0951389588403 t0:57991.5116027 x0:0.000619078179965 x1:2.358041036 z:0.0788176375838 
SN13: c:0.40965621789 t0:57887.4567784 x0:0.00949776000043 x1:6.07091466003 z:0.0205875379932 
SN14: c:-0.124757704984 t0:57947.7296689 x0:0.000413058134332 x1:1.22095822106 z:0.0958584063712 
SN15: c:-0.764156138419 t0:57983.6476609 x0:0.0162936717041 x1:4.16538460777 z:0.0157485322879 
SN16: c:0.0650597592788 t0:57865.3368654 x0:0.104978832281 x1:-1.20053886156 z:0.00622795341701 
SN17: c:0.567302901129 t0:57848.5136728 x0:0.000394792790261 x1:-1.40918303916 z:0.0979710755657 
SN18: c:0.61760318517 t0:57846.5692037 x0:0.000703342898882 x1:-0.225031823951 z:0.0740816956131 
SN19: c:-0.54875605325 t0:57930.2772208 x0:0.00532198644671 x1:-8.25851728213 z:0.0274284360057 
SN20: c:-0.0978872477862 t0:57792.0495568 x0:0.00113467912031 x1:0.481417305672 z:0.0586765899777 
SN21: c:-0.153514253054 t0:58040.9297685 x0:0.0155047155458 x1:0.153538461266 z:0.0161417194118 
SN22: c:-0.232996241615 t0:58072.2664439 x0:0.000713425529462 x1:0.0895196202117 z:0.0735709436058 
SN23: c:0.267153476065 t0:57997.0624101 x0:0.00197787929998 x1:1.79797053446 z:0.0446871345216 
SN24: c:-0.523981037774 t0:57822.5685453 x0:0.199283069796 x1:-2.03131307004 z:0.00452331167334 
SN25: c:0.0270901758949 t0:58052.7218943 x0:0.176604532125 x1:4.71479645289 z:0.004804431975 
SN26: c:-0.00984745592069 t0:57819.5628482 x0:0.00439483110087 x1:-1.24263869885 z:0.0301508310824 
SN27: c:0.0700994763682 t0:57886.4614053 x0:0.0386397339399 x1:-2.33079794267 z:0.0102490337135 
SN28: c:0.28460492336 t0:57760.2053904 x0:0.000477817448616 x1:-8.74175609005 z:0.0893500948742 
SN29: c:-0.0685289668835 t0:58112.5018279 x0:0.00300412591772 x1:-2.78650102308 z:0.0363784072595 
SN30: c:0.167888959566 t0:57978.9640478 x0:0.00479319428888 x1:3.52798181716 z:0.0288851857744 
SN31: c:0.270837051399 t0:58061.7853769 x0:0.0348107231581 x1:5.02400680182 z:0.0107956526638 
SN32: c:-0.415520321424 t0:58110.4143547 x0:0.0203276801173 x1:-3.46589727892 z:0.014108759285 
SN33: c:-0.0715524323699 t0:57896.7790692 x0:0.000773321038484 x1:1.62830843901 z:0.0707421671402 
SN34: c:-0.210156487654 t0:57865.7291026 x0:0.0212180936143 x1:2.3502160856 z:0.0138111855205 
SN35: c:0.13412263056 t0:57912.8561055 x0:0.00425736729574 x1:-1.8300893265 z:0.0306279503007 
SN36: c:0.804728163828 t0:58064.5588962 x0:0.121772053513 x1:2.23480483567 z:0.00578361551169 
SN37: c:-0.0706982104762 t0:58002.176768 x0:0.0199018579174 x1:-0.160814855257 z:0.0142580500196 
SN38: c:-0.0174290594931 t0:57916.694137 x0:0.000501454886807 x1:1.54475195962 z:0.0872882999994 
SN39: c:0.1218527161 t0:57806.8142814 x0:0.0193085458483 x1:-3.45382694529 z:0.0144742085151 
SN40: c:-0.270310916271 t0:57897.4598267 x0:0.000952126479741 x1:-2.50155344828 z:0.0639240548163 
SN41: c:0.0711269326946 t0:57874.086754 x0:0.0689819677171 x1:-2.13356975591 z:0.00767851338977 
SN42: c:0.423954084835 t0:57994.1220458 x0:0.00136896255173 x1:-4.39394535735 z:0.0535279237887 
SN43: c:-0.134175316798 t0:58037.1948458 x0:0.00352562928823 x1:3.09771602483 z:0.0336168894431 
SN44: c:0.612114713193 t0:57866.1136538 x0:0.00159573275202 x1:-3.32686696703 z:0.049654137491 
SN45: c:0.341842930651 t0:58016.8349764 x0:0.000643940955354 x1:-1.19448522169 z:0.0773258046867 
SN46: c:-0.232998604179 t0:58012.1621095 x0:0.0187295805889 x1:-0.544529290482 z:0.0146949279808 
SN47: c:-0.144182999611 t0:58076.1628566 x0:0.00450303834204 x1:-2.93666379121 z:0.02979060995 
SN48: c:-0.0706318754949 t0:57756.0833169 x0:0.00173580717197 x1:0.286812118533 z:0.0476460566997 
SN49: c:0.151181917963 t0:57860.7811768 x0:0.00101749645002 x1:-1.36143420835 z:0.0618857397093 
SN50: c:-0.0149883068455 t0:57863.9140142 x0:0.000951971571117 x1:0.255538106271 z:0.0639291290718 
SN51: c:-0.0779041073901 t0:57853.2108741 x0:0.000809051825726 x1:0.112004371313 z:0.0692038193655 
SN52: c:-0.391237181803 t0:58042.113869 x0:0.00103064976941 x1:2.86335004285 z:0.0614988608932 
SN53: c:0.0992837931638 t0:57855.9996692 x0:0.000410635923879 x1:0.718823697694 z:0.0961306287512 
SN54: c:0.276305098075 t0:57919.0456124 x0:0.000725434353412 x1:0.628729552182 z:0.0729763177799 
SN55: c:-0.0818831203431 t0:57788.5373986 x0:0.000712376835214 x1:3.25739865548 z:0.073623570286 
SN56: c:-0.220168565378 t0:57799.1800728 x0:0.000489989057757 x1:-0.31034917684 z:0.0882701764976 
SN57: c:0.439769536367 t0:57910.8033743 x0:0.000379119936211 x1:3.34762239681 z:0.0999014067319 
SN58: c:-0.0202108071182 t0:57806.7567298 x0:0.0898591208638 x1:-1.77657051305 z:0.00673020228399 
SN59: c:0.290737416013 t0:57873.4122151 x0:0.000872135798528 x1:0.1886315558 z:0.0667185333517 
SN60: c:0.592803505737 t0:58008.2058161 x0:0.00104202894988 x1:6.81868869744 z:0.0611700020569 
SN61: c:-0.305708369785 t0:57811.9791908 x0:0.00116768707717 x1:-1.18048415703 z:0.0578597859845 
SN62: c:0.242345290476 t0:58017.742051 x0:0.000862015845488 x1:0.0859522094854 z:0.0670990759052 
SN63: c:0.14848052803 t0:57944.2755886 x0:0.000784586802472 x1:-0.39771183292 z:0.0702460005302 
SN64: c:0.412754612851 t0:58056.4847377 x0:0.00383559528041 x1:-1.52525239483 z:0.0322473682984 
SN65: c:-0.556171843694 t0:57816.764737 x0:0.000484545430478 x1:3.79819817007 z:0.0887482354606 
SN66: c:-0.198801107853 t0:58042.8380218 x0:0.000741017467514 x1:4.97089720089 z:0.072225981226 
SN67: c:0.663395170597 t0:58018.6838459 x0:0.379258570462 x1:1.81482657001 z:0.00328049648227 
SN68: c:-0.200824083296 t0:57901.8081717 x0:0.00143984309267 x1:-1.67595906011 z:0.052220499038 
SN69: c:-0.0823908013977 t0:57847.3793552 x0:0.000648920859383 x1:-0.0614548489578 z:0.0770371568408 
SN70: c:-0.34598699243 t0:57992.9584689 x0:0.000878845676953 x1:-0.221709079801 z:0.0664697930363 
SN71: c:-0.264084284478 t0:57973.2762901 x0:0.000462275484502 x1:-7.09185349609 z:0.0907892192858 
SN72: c:0.244278088671 t0:57899.8815167 x0:0.00497583644787 x1:-4.19476032041 z:0.0283560357666 
SN73: c:-0.303602953735 t0:58077.9540982 x0:0.00117119395082 x1:3.00119551761 z:0.0577750118787 
SN74: c:-0.120135849679 t0:58030.3601241 x0:0.00104301199456 x1:0.649465281018 z:0.0611418410038 
SN75: c:-0.481764933051 t0:57819.1175895 x0:0.00434612552957 x1:-2.02590237183 z:0.0303173106873 
SN76: c:-0.0160275647357 t0:57760.2711599 x0:0.000396438942262 x1:-3.4765427198 z:0.0977748442119 
SN77: c:0.0591716234353 t0:58052.193404 x0:0.000880501043298 x1:2.38784479939 z:0.0664088578481 
SN78: c:-0.00367649372279 t0:57866.1729855 x0:0.000817584045585 x1:-1.20215239905 z:0.0688512196743 
SN79: c:0.0516596242162 t0:57797.2921102 x0:0.00319093645314 x1:2.84078570044 z:0.0353123198426 
SN80: c:-0.440956192875 t0:58017.2976811 x0:0.00122692371776 x1:-2.81664882975 z:0.0564763007081 
SN81: c:-0.123912277646 t0:58010.434517 x0:0.00907238374121 x1:0.168399490283 z:0.0210606992272 
SN82: c:-0.0588630756525 t0:57855.913304 x0:0.0107091724112 x1:-7.59651641313 z:0.0193973397329 
SN83: c:0.24014753328 t0:58008.0636043 x0:0.000609083355331 x1:1.90989322882 z:0.0794424422159 
SN84: c:0.17649389244 t0:58047.403826 x0:0.00246606473609 x1:-2.40189562032 z:0.0400926715336 
SN85: c:0.425915045618 t0:57782.6313555 x0:0.000762033915484 x1:3.48290999276 z:0.0712500750653 
SN86: c:-0.302387596131 t0:58105.9175363 x0:0.00111681442226 x1:-2.35107391885 z:0.0591334681091 
SN87: c:-0.0321424755146 t0:57792.9149878 x0:0.0127880734988 x1:1.15303577508 z:0.017762312384 
SN88: c:0.0906310446333 t0:58069.8297223 x0:0.0029782000466 x1:1.47622353493 z:0.0365341615825 
SN89: c:-0.38133624432 t0:57970.1413635 x0:0.00626239841231 x1:-1.88836343603 z:0.0253065153442 
SN90: c:-0.0381619951395 t0:57963.4754697 x0:0.00289739853328 x1:-1.2130781853 z:0.0370328037198 
SN91: c:-0.0711100545137 t0:58064.0137557 x0:0.00343874392667 x1:4.23844254908 z:0.03403333836 
SN92: c:-0.581086900317 t0:57832.812807 x0:0.000902601146242 x1:4.99506519184 z:0.0656112044074 
SN93: c:0.00416481627321 t0:58014.62204 x0:0.00357234415053 x1:-1.84118758187 z:0.033399234532 
SN94: c:0.337432376561 t0:57995.1720066 x0:0.0233923422556 x1:0.844766000867 z:0.0131571037983 
SN95: c:-0.0204919794806 t0:57845.5543914 x0:0.0011255933093 x1:1.54745738584 z:0.0589076144751 
SN96: c:0.204666913186 t0:57977.7605972 x0:0.000596940559845 x1:-2.31570021941 z:0.0802221237396 
SN97: c:-0.0064606453591 t0:58061.5849543 x0:0.000388726667192 x1:-0.125570227623 z:0.0987046697358 
SN98: c:0.207938443112 t0:57941.1398285 x0:0.00269366797818 x1:-0.110112757925 z:0.038387239851 
SN99: c:0.170032937632 t0:57829.0858418 x0:0.00472836742928 x1:-2.60403507162 z:0.0290802790951 
SN100: c:-0.0421351955707 t0:57811.635719 x0:0.000397446265012 x1:0.924732506854 z:0.0976553529309 
