SN1: c:0.41733572605 t0:58456.8830097 x0:0.000553036807462 x1:0.297002090282 z:0.0811653150011 
SN2: c:-0.0873235361953 t0:58344.2221415 x0:0.000166523821189 x1:1.76029012158 z:0.141831083807 
SN3: c:-0.0618684723175 t0:58626.7716797 x0:0.00247881015476 x1:-0.383323863642 z:0.0395011925703 
SN4: c:-0.221976369867 t0:58490.6263176 x0:0.000304395583414 x1:-2.21558820612 z:0.107409890677 
SN5: c:0.0730497698761 t0:58328.3127181 x0:0.000168794844013 x1:-1.43144765858 z:0.140957230889 
SN6: c:0.12527343658 t0:58478.5974525 x0:0.000306445392882 x1:-5.33727650209 z:0.10707494884 
SN7: c:-0.342008629735 t0:58553.9552946 x0:0.000210937801763 x1:0.115190759306 z:0.127273907144 
SN8: c:0.022729004931 t0:58568.2336188 x0:0.00492110925347 x1:4.46870993444 z:0.0282663089567 
SN9: c:-0.0275461120158 t0:58359.3093679 x0:0.000175980212639 x1:-1.88429837923 z:0.138298928268 
SN10: c:-0.389076214875 t0:58521.9199241 x0:0.00040632117365 x1:-0.688250212655 z:0.0938502563384 
SN11: c:0.148253152753 t0:58298.2641102 x0:0.00263302097292 x1:-1.59302355365 z:0.0383589043152 
SN12: c:0.0407154234235 t0:58434.9189469 x0:0.000241205072443 x1:3.6820163442 z:0.119645794949 
SN13: c:-0.00997429122395 t0:58427.4794394 x0:0.275728805327 x1:2.0147060305 z:0.00384520560199 
SN14: c:-0.740818509898 t0:58612.3388318 x0:0.000186991106497 x1:-0.665664457888 z:0.134511498208 
SN15: c:0.0733688456796 t0:58603.2754601 x0:0.0265755795331 x1:6.01054118492 z:0.0123077712767 
SN16: c:-0.0371703739562 t0:58545.3751903 x0:0.000305082244076 x1:-6.95769044264 z:0.107297329573 
SN17: c:-0.479682881153 t0:58655.9815568 x0:0.000163461646835 x1:-1.42126365358 z:0.143036518402 
SN18: c:0.0371601154278 t0:58380.50576 x0:0.0309718124163 x1:1.59405493692 z:0.0114084807593 
SN19: c:-0.100646848937 t0:58428.0122276 x0:0.000448944192289 x1:-1.50114513196 z:0.0895536804551 
SN20: c:0.168846608145 t0:58392.4313295 x0:0.000585444606069 x1:-0.236999845388 z:0.079007378334 
SN21: c:0.265245457744 t0:58331.0052147 x0:0.000354353232216 x1:-3.83542925259 z:0.100061282629 
SN22: c:0.153545804375 t0:58351.2956091 x0:0.0345784271508 x1:5.32496736303 z:0.0108020060633 
