SN1: c:0.28507171344 t0:57801.4275409 x0:0.000659320334247 x1:1.15837087281 z:0.0746784849407 
SN2: c:0.245809492762 t0:57797.4142216 x0:0.00101263773485 x1:3.49851349642 z:0.0608557074744 
SN3: c:0.279222758647 t0:57949.437113 x0:0.00592747830322 x1:-0.372595505552 z:0.0258019401421 
SN4: c:-0.0882008398959 t0:58075.4230172 x0:0.000635126862312 x1:-1.35471638144 z:0.0760153565493 
SN5: c:0.00330417189295 t0:57803.9829131 x0:0.00848886398672 x1:-1.04782235385 z:0.0216271168785 
SN6: c:0.544414236174 t0:57851.0103948 x0:0.000754168556635 x1:2.25392983143 z:0.0700548192736 
SN7: c:-0.822914009671 t0:58044.2626409 x0:0.0042617582853 x1:-0.448170055228 z:0.0303283640413 
SN8: c:0.300067410975 t0:57930.4693757 x0:0.170237985707 x1:-6.49092903513 z:0.00488982432556 
SN9: c:0.414862730744 t0:57823.3769504 x0:0.000766402710685 x1:-4.00135472378 z:0.0695199215677 
SN10: c:0.489100349351 t0:57873.7769543 x0:0.00149409133472 x1:1.54631283677 z:0.0504760306193 
SN11: c:0.300551786102 t0:58104.5921556 x0:0.00155563462182 x1:1.07605575872 z:0.0495023323262 
SN12: c:0.369095585664 t0:57785.0815649 x0:0.00760884299831 x1:-0.0866956251431 z:0.0228234256309 
SN13: c:-0.100478968664 t0:58032.8950548 x0:0.00211181273185 x1:2.37133796206 z:0.0426967103761 
SN14: c:-0.333154986561 t0:57922.7280929 x0:0.185330147333 x1:2.1112588221 z:0.00468720790484 
SN15: c:-0.332273071882 t0:57909.1000821 x0:0.00048935886176 x1:4.52340597831 z:0.0859913093582 
SN16: c:0.306423023143 t0:57951.6515386 x0:0.02035581575 x1:1.95110285095 z:0.0140448231727 
SN17: c:-0.0480451158113 t0:57772.9675322 x0:0.0012069030099 x1:-3.17104063722 z:0.0559404565052 
SN18: c:0.508468266919 t0:58040.1718112 x0:0.00276031089886 x1:0.26145140891 z:0.0374878242129 
SN19: c:-0.621033087119 t0:57905.3896813 x0:0.00268137688692 x1:0.889888573278 z:0.038020819798 
SN20: c:0.0433104603107 t0:57895.7566121 x0:0.00532456482682 x1:1.5345503035 z:0.0271956949961 
SN21: c:0.222972313756 t0:58088.6748812 x0:0.470640820837 x1:-2.17916614294 z:0.00294515570392 
SN22: c:-0.140240750936 t0:57913.6623848 x0:0.00372108977559 x1:8.58524626181 z:0.0324075827829 
SN23: c:0.320453908371 t0:57862.8900523 x0:0.000563321431054 x1:-2.80754040486 z:0.0804610410647 
SN24: c:-0.466855433525 t0:57932.7111172 x0:0.000445640551773 x1:2.64799128953 z:0.0898653263798 
SN25: c:0.335265564413 t0:58008.1271228 x0:0.000584865052113 x1:-0.268695589539 z:0.0790444394057 
