SN1: c:0.034504447651 t0:57844.7576473 x0:0.000440221382067 x1:-0.361009739449 z:0.0903838311851 
SN2: c:-0.0349576377346 t0:58006.3939093 x0:0.0332411991028 x1:-2.37788094863 z:0.0110153868761 
SN3: c:0.174722159735 t0:58041.2908137 x0:0.000459051181749 x1:-0.523577527022 z:0.0886204589785 
SN4: c:0.308876481325 t0:57794.8188066 x0:0.00154467957357 x1:-0.0460404911204 z:0.0496714844107 
SN5: c:0.397877331907 t0:57805.3588681 x0:0.00168430400288 x1:2.71068833357 z:0.0476381706878 
SN6: c:0.0334213476192 t0:58102.9527185 x0:0.187196895565 x1:1.01797490782 z:0.00466386005212 
SN7: c:-0.0884222508758 t0:57980.8937681 x0:0.000158574767003 x1:0.457460425124 z:0.145028164152 
SN8: c:0.143339823447 t0:57852.4959968 x0:0.00881913059002 x1:1.89178404375 z:0.021224602333 
SN9: c:0.243366500399 t0:58088.0907306 x0:0.0241637163264 x1:-1.78111752123 z:0.0129017100674 
SN10: c:0.0989718217302 t0:57833.6284485 x0:0.000640086726121 x1:0.021805004535 z:0.0757353208048 
SN11: c:-0.100320434669 t0:57764.2204253 x0:0.000385970343227 x1:-3.33161499345 z:0.096138525206 
SN12: c:0.0229074043584 t0:57946.2285433 x0:0.000150366075205 x1:9.04036172558 z:0.148577494463 
SN13: c:0.258307871042 t0:57773.7912053 x0:0.000170548175995 x1:-1.46391429679 z:0.14029391977 
SN14: c:0.022076232523 t0:57772.0196924 x0:0.000185508210198 x1:-1.1919211534 z:0.135002858026 
SN15: c:-0.69237651033 t0:57891.7202254 x0:0.000303202586778 x1:-0.982112123031 z:0.107606322388 
SN16: c:0.828152737336 t0:57892.8004383 x0:0.00406343410456 x1:-4.33448827411 z:0.0310433886307 
SN17: c:0.0651026998598 t0:57928.5547764 x0:0.00112862071043 x1:-0.912009645915 z:0.0577718221806 
SN18: c:-0.278266486532 t0:57867.1432841 x0:0.00120755041376 x1:-1.06167891082 z:0.0559260391969 
SN19: c:-0.110097206669 t0:57979.5564083 x0:0.00127443069537 x1:-7.12726328635 z:0.05449494151 
SN20: c:0.00980983043507 t0:58065.5795711 x0:0.00064991607496 x1:-5.35573874321 z:0.0751895502499 
SN21: c:-0.517670086455 t0:57822.8073182 x0:0.0023076013875 x1:1.06601150867 z:0.040898706076 
SN22: c:-0.6365356889 t0:57760.6169372 x0:0.000202403155224 x1:-2.64879551189 z:0.12971294805 
SN23: c:0.0952176050982 t0:57913.3830143 x0:0.000259180220336 x1:-2.54458759536 z:0.115733895533 
SN24: c:0.49560543157 t0:57964.2669397 x0:0.00021481614914 x1:4.11541819929 z:0.126211554029 
SN25: c:-0.1781694429 t0:57866.402012 x0:0.000292667883726 x1:-0.466385572027 z:0.109390426581 
SN26: c:-0.174033048052 t0:57910.8917169 x0:0.00445706923359 x1:6.50339754641 z:0.0296707274238 
SN27: c:0.149805214778 t0:58098.1259443 x0:0.0018913943446 x1:4.74878163788 z:0.0450393719662 
SN28: c:-0.107420819129 t0:58042.8236105 x0:0.000250495682264 x1:-2.0475303874 z:0.117573735058 
