SN1: c:0.348756083524 t0:57946.2044467 x0:0.000561237587875 x1:0.550587628668 z:0.0806022271009 
SN2: c:-0.0289524499639 t0:57897.0999482 x0:0.0407993167205 x1:-0.321631000129 z:0.00995074783172 
SN3: c:-0.107756133694 t0:58051.5206706 x0:0.00882031417314 x1:-3.15380278669 z:0.0212232002069 
SN4: c:-0.231068544045 t0:57952.6509548 x0:0.00414154459354 x1:0.849148362859 z:0.0307557366565 
SN5: c:0.0109531379728 t0:57986.6769252 x0:0.0223533511552 x1:1.77562334751 z:0.0134089330709 
SN6: c:0.335010992727 t0:58054.1255771 x0:0.0037573455074 x1:4.49349274197 z:0.0322544647854 
SN7: c:-0.321456877792 t0:57840.7779786 x0:0.0246155339824 x1:-2.19203667344 z:0.0127838753313 
SN8: c:0.159321296456 t0:58055.7344749 x0:0.000912830113368 x1:1.50178369702 z:0.0639542280739 
SN9: c:0.422582951879 t0:57800.3685145 x0:0.00102051719585 x1:0.441045253998 z:0.0606301273182 
SN10: c:0.153759122156 t0:57814.1936904 x0:0.000364076208213 x1:-3.23687576845 z:0.0988028700856 
SN11: c:0.24025587295 t0:57786.9647733 x0:0.174895865348 x1:-1.25779568384 z:0.0048245067623 
SN12: c:-0.374626429553 t0:57894.2477115 x0:0.00054856940325 x1:0.681561994958 z:0.0814771756701 
SN13: c:-0.0370583037978 t0:57933.7734384 x0:0.0240536976387 x1:4.92496755944 z:0.0129309014422 
SN14: c:0.0975447105275 t0:57889.3994603 x0:0.00212357282536 x1:1.22530946731 z:0.0425818752193 
SN15: c:-0.0444953558047 t0:57987.7274021 x0:0.0125426505504 x1:2.1117692562 z:0.0178420052331 
SN16: c:0.00362967991682 t0:58073.7308557 x0:0.00104320643218 x1:2.9605962505 z:0.0599945204796 
SN17: c:0.645116369434 t0:58006.9356881 x0:0.00174035456671 x1:-5.78158649615 z:0.0468901636549 
SN18: c:0.325774131127 t0:57993.3944285 x0:0.000578124205885 x1:1.34195669158 z:0.0794794479177 
SN19: c:-0.193252663051 t0:57880.0997236 x0:0.189489956178 x1:-0.710425203016 z:0.00463565267757 
SN20: c:-0.0109235209571 t0:58039.5998845 x0:0.00928255424725 x1:1.02544625992 z:0.0206960843512 
SN21: c:0.0829734479229 t0:58008.0407943 x0:0.00503164531039 x1:-0.0936646872999 z:0.027960387297 
SN22: c:0.246398189724 t0:57994.359147 x0:0.000360663161865 x1:-2.42537885631 z:0.0992390431407 
SN23: c:0.40137290402 t0:57957.0401435 x0:0.00177236704546 x1:-3.73334288934 z:0.0464786275226 
SN24: c:0.177192629503 t0:57923.1217319 x0:0.0149243604519 x1:-2.62715400507 z:0.016374289638 
SN25: c:-0.109464428464 t0:58112.0024475 x0:0.000850446993035 x1:1.44337658 z:0.0661541931197 
SN26: c:0.0601922179108 t0:58109.0916113 x0:0.00109014756421 x1:-0.649453216654 z:0.0587414707816 
SN27: c:0.0704253201664 t0:57863.584298 x0:0.000361357910101 x1:-2.98200261292 z:0.0991497767587 
SN28: c:0.147665003789 t0:57817.2487275 x0:0.000877101749834 x1:0.549124880808 z:0.0651863209791 
SN29: c:-0.0183589419296 t0:57967.2180796 x0:0.000517999214703 x1:-0.277937678215 z:0.083714551863 
SN30: c:0.0292344105181 t0:57984.0037598 x0:0.00225648213172 x1:-0.918799871195 z:0.0413459242446 
SN31: c:0.213542614528 t0:57795.1763835 x0:0.314983867738 x1:4.46102366898 z:0.00359829429682 
SN32: c:-0.106060242676 t0:57808.6816073 x0:0.000467797682275 x1:-0.435943523807 z:0.0878364996725 
SN33: c:-0.0693449058692 t0:57932.8561613 x0:0.00211540302368 x1:-0.597918455828 z:0.0426615522791 
SN34: c:0.050106864579 t0:57910.4684216 x0:0.0111463015925 x1:-0.780944026153 z:0.018911643046 
SN35: c:0.182581169259 t0:58031.1366421 x0:0.000732819151929 x1:-1.81691747401 z:0.0710191549118 
SN36: c:0.351433534498 t0:58113.1369411 x0:0.000422600901868 x1:0.18086789043 z:0.092135520052 
SN37: c:0.154857917648 t0:57792.828821 x0:0.0347047184389 x1:0.150960922834 z:0.0107824903256 
SN38: c:0.356573111627 t0:57998.1625015 x0:0.000372706874891 x1:-0.235513019651 z:0.0977256984087 
SN39: c:0.0726778507686 t0:57958.965296 x0:0.00296767014191 x1:-1.94318461141 z:0.0361887173756 
SN40: c:-0.0294741017075 t0:57947.9327877 x0:0.000616902279771 x1:0.346696948986 z:0.0770722146398 
SN41: c:0.478677416457 t0:57754.4401818 x0:0.0010548687182 x1:0.841824908126 z:0.0596756172667 
SN42: c:-0.0142351654362 t0:57998.6372375 x0:0.000930543097813 x1:-0.268396892896 z:0.0633691500716 
SN43: c:-0.217120210233 t0:58093.6843268 x0:0.059284668028 x1:6.1528778737 z:0.00826525477128 
SN44: c:0.125342421711 t0:58046.1124141 x0:0.000516156807931 x1:-2.74551494004 z:0.0838554870976 
SN45: c:0.119323009711 t0:57933.6906565 x0:0.0167956217188 x1:-0.659765166233 z:0.0154458262253 
SN46: c:-0.336678791363 t0:58106.1333647 x0:1.28556950416 x1:-0.62199021406 z:0.00178354046917 
SN47: c:-0.111714902971 t0:57928.1712018 x0:0.0152068642252 x1:0.877332299815 z:0.0162232957965 
SN48: c:0.464310378255 t0:57786.0821192 x0:0.000599450555864 x1:-3.73944803846 z:0.0781276007586 
SN49: c:-0.0762866288889 t0:58045.7742937 x0:0.0102787402208 x1:4.25618680871 z:0.0196823637399 
SN50: c:0.361421902486 t0:57885.3621539 x0:3.06374976533 x1:4.92110585593 z:0.00115586822287 
SN51: c:-0.269056146419 t0:57827.2718217 x0:0.00130832592818 x1:1.71689402404 z:0.0538109218284 
SN52: c:-0.344172210318 t0:57968.4191534 x0:0.0023477490989 x1:-1.59450672515 z:0.0405575716285 
SN53: c:0.203215252757 t0:57972.1430701 x0:0.000580368052184 x1:-6.31137776744 z:0.0793338323012 
SN54: c:0.311389613859 t0:57945.94606 x0:0.00298854331783 x1:-3.12795976642 z:0.0360653660965 
SN55: c:-0.393511572996 t0:57772.1278619 x0:0.000397159514983 x1:3.20807844419 z:0.0948594728035 
SN56: c:-0.249949215928 t0:58050.3757351 x0:0.0213856146083 x1:-3.06087486467 z:0.0137059425443 
SN57: c:-0.232121197679 t0:57761.0001006 x0:0.000681768894527 x1:2.6420739001 z:0.0735002337453 
SN58: c:0.250015813932 t0:57969.4608631 x0:0.00107598751226 x1:2.06684323726 z:0.0591110351933 
SN59: c:0.02969834791 t0:57848.8324435 x0:0.000637142846717 x1:1.70853976183 z:0.0759011516893 
SN60: c:0.0230820486127 t0:57785.821125 x0:0.000490591749804 x1:-0.755746002087 z:0.0858893599826 
SN61: c:0.0816889745938 t0:58108.9431208 x0:0.000486498229991 x1:6.81147797951 z:0.0862292965957 
SN62: c:0.176205911272 t0:58073.0990758 x0:0.000583993967488 x1:0.404548940412 z:0.0791002434244 
SN63: c:-0.124963786198 t0:57759.092829 x0:0.00132894654645 x1:2.76992543079 z:0.0534073489379 
SN64: c:-0.445325149629 t0:57982.4965372 x0:0.000504678995515 x1:-1.3345205131 z:0.0847501765889 
SN65: c:-0.764061172475 t0:57867.0405474 x0:0.00208735895191 x1:-2.41809388043 z:0.0429385358295 
SN66: c:-0.674010624852 t0:58087.1516387 x0:0.000469737051657 x1:-0.612181980548 z:0.0876655360064 
SN67: c:-0.0239831776267 t0:57907.2984499 x0:0.00116261783211 x1:1.85381034563 z:0.0569543460512 
SN68: c:-0.765391561111 t0:57952.5237837 x0:0.00189554265713 x1:-0.305096744791 z:0.0449916202892 
SN69: c:-0.185789983447 t0:57794.6080589 x0:0.0266838200629 x1:-1.0821247686 z:0.0122830092515 
SN70: c:0.0104060085756 t0:57795.3751007 x0:0.00106081528599 x1:1.47119481871 z:0.0595149845337 
SN71: c:-0.465362205359 t0:58043.5551716 x0:0.00139689664413 x1:1.85106936433 z:0.0521398494308 
SN72: c:0.00378408554344 t0:57828.2949743 x0:0.00237617470129 x1:8.80757454605 z:0.0403211889417 
SN73: c:-0.324824273896 t0:57826.1060198 x0:0.000870660988385 x1:-2.81274784599 z:0.0654162321963 
SN74: c:-0.445765317884 t0:58107.1485027 x0:0.00137073004047 x1:0.163356664238 z:0.0526170371465 
SN75: c:-0.335670680616 t0:57828.4936933 x0:0.000627588555229 x1:-0.257562643965 z:0.0764471053907 
SN76: c:0.107644990954 t0:57769.8816886 x0:0.000656116349459 x1:2.78821677272 z:0.0748514072668 
SN77: c:-0.377568036583 t0:58026.7922794 x0:0.00420654379698 x1:0.337497372378 z:0.0305224146373 
SN78: c:0.457943321881 t0:57887.0323413 x0:0.000732976594541 x1:2.79445964335 z:0.0710118942227 
SN79: c:-0.148762847122 t0:58004.0342866 x0:0.00198745382913 x1:-0.0281347906625 z:0.0439715154072 
SN80: c:-0.0322132953251 t0:57809.9411329 x0:0.00150755775732 x1:0.387611374344 z:0.0502580021019 
SN81: c:-0.491290821384 t0:58022.1810555 x0:0.000381410010973 x1:0.313990394357 z:0.0966752586875 
SN82: c:0.277589687955 t0:58040.1122297 x0:0.00722887374509 x1:0.857872894639 z:0.023405528336 
SN83: c:-0.232188662022 t0:58011.9320648 x0:0.343272084454 x1:4.33701094949 z:0.0034472332234 
SN84: c:-0.163209100786 t0:57913.9522701 x0:0.00321397752475 x1:0.25741064722 z:0.0348094523944 
SN85: c:-0.568305327054 t0:57944.9342949 x0:0.0127869927324 x1:3.8839363335 z:0.0176729261756 
SN86: c:0.31841548743 t0:58095.2224346 x0:0.000818458682236 x1:-3.98138611272 z:0.0673757642171 
SN87: c:-0.399373239712 t0:58051.5085049 x0:0.793411672838 x1:6.02920871426 z:0.00226946464097 
SN88: c:0.311175349656 t0:57825.590704 x0:0.000482539336226 x1:0.407236476157 z:0.0865620109789 
SN89: c:0.454404321649 t0:57919.6159719 x0:1.72910851175 x1:-2.7582402017 z:0.00153815270324 
SN90: c:-0.553122036057 t0:57782.1888875 x0:0.00378647750417 x1:4.19483951948 z:0.0321330052355 
SN91: c:-0.485169940878 t0:57933.7778462 x0:0.000847616127776 x1:-2.7035526921 z:0.0662595820978 
SN92: c:-0.142833249989 t0:57786.503566 x0:0.000682519274117 x1:2.53789422659 z:0.0734618242527 
SN93: c:0.155345924754 t0:57961.1734744 x0:0.000395840280508 x1:0.714314189926 z:0.0950075612326 
SN94: c:0.213408970988 t0:58099.4518123 x0:0.00104856801297 x1:-2.01610142695 z:0.0598472656878 
SN95: c:0.309807344969 t0:58103.2994977 x0:0.000685294061088 x1:-2.42626696899 z:0.073320323111 
SN96: c:-0.310082142578 t0:57886.2397972 x0:0.00145923916382 x1:0.171589543666 z:0.0510539324466 
SN97: c:0.134090146045 t0:58065.7528855 x0:0.000406058741781 x1:-3.90845858989 z:0.093878707229 
SN98: c:0.172103901602 t0:57887.0003351 x0:0.000717413418029 x1:1.80649476795 z:0.0717407736074 
SN99: c:0.519293624056 t0:58058.5923561 x0:2.89285224085 x1:-4.91709559421 z:0.00118949029275 
SN100: c:-0.064942161293 t0:57842.9261062 x0:0.00153024145577 x1:1.56665737792 z:0.0498971234156 
