SN1: c:-0.391933881221 t0:57850.0908011 x0:0.230825280297 x1:1.34785085457 z:0.00420148918762 
SN2: c:-0.337638224001 t0:58046.704889 x0:0.0171156042861 x1:1.93254551306 z:0.0153023896369 
SN3: c:-0.230437015125 t0:58003.7558426 x0:0.00264852468039 x1:-5.05498747366 z:0.0382495187019 
SN4: c:0.0641052388814 t0:58050.8189468 x0:0.000382281506826 x1:-1.9541374849 z:0.0965719744542 
SN5: c:0.154367899724 t0:57885.5883493 x0:0.00755927237233 x1:-3.56261897747 z:0.022896896256 
SN6: c:-0.0444670994306 t0:57855.9578649 x0:0.00394213368138 x1:-2.64180124838 z:0.0315066779837 
SN7: c:-0.133218468901 t0:57958.9422397 x0:2.01138435439 x1:-0.900537336418 z:0.0014262624489 
SN8: c:-0.220466545338 t0:57989.2423645 x0:0.00430684466176 x1:-3.78741323394 z:0.0301726450111 
SN9: c:0.456745415585 t0:57880.7606419 x0:0.0291602808336 x1:-1.87240010378 z:0.011754483307 
SN10: c:0.474330337704 t0:57862.7807207 x0:0.000516196109877 x1:2.45950582006 z:0.0838524730912 
SN11: c:0.254278158225 t0:57769.8631743 x0:0.00227353188554 x1:-1.34478762916 z:0.0411951202145 
SN12: c:-0.0979992310827 t0:58060.0452721 x0:0.0031591907453 x1:3.38119311635 z:0.0351024703287 
SN13: c:0.326021024041 t0:57785.2686003 x0:0.0985988413355 x1:3.48780429596 z:0.00641785612167 
SN14: c:-0.112240683354 t0:57809.3725192 x0:0.00163119037279 x1:0.460064879593 z:0.0483814956943 
SN15: c:0.294620650466 t0:57994.3491628 x0:0.000456069348796 x1:-1.3273213991 z:0.0888926748492 
SN16: c:-0.541212517464 t0:57768.407734 x0:0.00127229298031 x1:1.32039094284 z:0.0545389733109 
SN17: c:0.136683713591 t0:58026.2386938 x0:0.0129393857967 x1:-4.96226245004 z:0.0175698868971 
SN18: c:-0.378294282223 t0:57953.2208859 x0:0.000772079200952 x1:-3.02884530948 z:0.0692759360166 
SN19: c:0.276917186437 t0:58047.1691432 x0:0.000460566909634 x1:0.592131790324 z:0.0884830632676 
SN20: c:-0.307044303334 t0:57859.7586753 x0:1.0326707295 x1:0.704874661418 z:0.00198967785765 
SN21: c:0.0471784294365 t0:57793.4551192 x0:0.00036547330664 x1:4.41441676554 z:0.0986260208712 
SN22: c:0.197599919661 t0:58040.4482919 x0:0.00038307360582 x1:3.17781589921 z:0.0964783936911 
SN23: c:0.366737066577 t0:57795.7078587 x0:0.00474380712359 x1:3.45507952331 z:0.0287788635735 
SN24: c:0.313932964364 t0:57883.3839177 x0:0.00159171439743 x1:-5.12003268939 z:0.0489573694389 
SN25: c:0.0823826088532 t0:58009.5851622 x0:0.00269361513591 x1:0.0188320923866 z:0.0379366767264 
SN26: c:-0.351087012407 t0:57755.236796 x0:0.00056240629249 x1:0.267091335547 z:0.0805229508351 
SN27: c:-0.0809230833422 t0:58060.7717291 x0:0.000568271955973 x1:-1.66789515317 z:0.0801286436346 
SN28: c:0.330913527283 t0:57841.8354995 x0:0.00681156564965 x1:-1.89742888076 z:0.0240995097319 
SN29: c:-0.171975742654 t0:58085.9313083 x0:0.000816987796418 x1:-4.23387760965 z:0.0674336033052 
SN30: c:0.0913535290737 t0:57865.2727267 x0:0.000506346256987 x1:1.9943693822 z:0.0846183953329 
SN31: c:0.0392634833094 t0:57790.2075945 x0:0.0835941603192 x1:-0.703969679559 z:0.00696722546914 
SN32: c:0.162779974508 t0:57902.3957272 x0:0.000524953727908 x1:2.17017333032 z:0.0831890346845 
SN33: c:0.157771133278 t0:58113.387543 x0:0.00472867450954 x1:-0.0541846517535 z:0.0288239220846 
SN34: c:0.396023725989 t0:58111.4568269 x0:0.0157328133513 x1:5.99436942815 z:0.0159530127717 
SN35: c:-0.41323293671 t0:57774.2982426 x0:0.0139275969122 x1:-3.15958443693 z:0.0169429604139 
SN36: c:-0.154271618546 t0:58032.182724 x0:0.000622749339098 x1:-2.167763969 z:0.0767282537627 
