SN1: c:0.347703299951 t0:57762.5966611 x0:0.0774100289964 x1:-0.415715879785 z:0.00724970924603 
SN2: c:-0.386130570437 t0:57974.4655034 x0:0.00212230129208 x1:0.798480592531 z:0.0431656832968 
SN3: c:0.122085179186 t0:57953.7493898 x0:0.0133805459972 x1:4.17555766265 z:0.0173673390608 
SN4: c:-0.228192380249 t0:57944.0014214 x0:0.00148912455051 x1:-0.991998326059 z:0.0513663212655 
SN5: c:-0.322133657659 t0:57928.9663567 x0:0.00107145987757 x1:5.49735156578 z:0.0603435144472 
SN6: c:-0.391107109722 t0:58117.0846709 x0:0.000539309369512 x1:-9.10914030923 z:0.084267544281 
SN7: c:-0.360783409468 t0:57796.8018384 x0:0.00147704670574 x1:-0.231851887939 z:0.0515717530158 
SN8: c:0.190161052917 t0:57860.4248724 x0:0.52038572987 x1:-2.33522310059 z:0.0028010945489 
SN9: c:-0.151790977377 t0:58082.9398976 x0:0.00181821384194 x1:3.8320806809 z:0.0465734180957 
SN10: c:0.0258554334446 t0:58084.8883322 x0:0.000611293384833 x1:-2.71537453092 z:0.0793029939514 
SN11: c:-0.435136796876 t0:57916.6264326 x0:0.0048578296647 x1:2.98860357942 z:0.02869454097 
SN12: c:0.291920630801 t0:57833.525769 x0:0.000603291553869 x1:1.8804185683 z:0.0798114507747 
SN13: c:0.357218682121 t0:58011.1538634 x0:0.00204764052085 x1:0.019467555669 z:0.0439323443716 
SN14: c:-0.0498100227519 t0:57765.632639 x0:0.000734464478839 x1:1.28806546376 z:0.0725386530048 
SN15: c:0.835301613061 t0:58083.4296301 x0:0.00722055662944 x1:-1.6484177594 z:0.0235837968115 
SN16: c:-0.155698168975 t0:57963.8744569 x0:0.013461511169 x1:0.234838734809 z:0.0173153891027 
SN17: c:-0.830345599762 t0:57950.0792106 x0:0.000565714583255 x1:-2.87957689111 z:0.0823388648298 
SN18: c:0.222902095845 t0:57809.2455498 x0:0.00128233524164 x1:-2.83875004315 z:0.0552687224629 
SN19: c:0.409346902138 t0:57779.8398163 x0:0.00667652798857 x1:-4.12402185017 z:0.0245167668795 
SN20: c:-0.105684528974 t0:57990.6579514 x0:0.00061087702703 x1:-0.127507497122 z:0.0793292085145 
SN21: c:-0.285646449341 t0:57960.445854 x0:0.000482403889148 x1:-1.54873999374 z:0.0889384721382 
SN22: c:-0.0518540724848 t0:57800.1763543 x0:0.000699167057085 x1:2.0358213215 z:0.0742963992093 
SN23: c:0.0753840878877 t0:57936.2564767 x0:0.000449429984513 x1:0.715542782135 z:0.0920333410969 
SN24: c:-0.0147875443448 t0:57837.7362611 x0:0.000868586050855 x1:-0.270754049198 z:0.0668512701992 
SN25: c:-0.0831116480073 t0:58014.8102373 x0:0.00113014555683 x1:1.00766482702 z:0.0587915215369 
SN26: c:0.381372684198 t0:58101.0439269 x0:0.00821931349392 x1:-0.356154731366 z:0.0221173823634 
SN27: c:-0.143765853053 t0:57834.715833 x0:0.000552452171568 x1:-0.10571600466 z:0.0832906366338 
SN28: c:-0.0453618563276 t0:57856.2247299 x0:0.000573682003719 x1:2.58192719898 z:0.0817827091325 
SN29: c:-0.211285370841 t0:58009.8266785 x0:0.00166739923449 x1:0.288397641528 z:0.0485955030946 
SN30: c:-0.0637368221664 t0:57900.5860816 x0:0.00415976188137 x1:0.701453934621 z:0.0309808760971 
