SN1: c:-0.07048747142890122 mwebv:0.03030455100765922 t0:58790.64835070917 x0:0.00038329264098275963 x1:-0.658169335026904 z:0.111197220311 
SN2: c:0.017568879933653747 mwebv:0.1540532972708964 t0:58857.01561303551 x0:0.0003334077627358984 x1:0.3934708591668379 z:0.117266432595 
SN3: c:-0.0003022702566841673 mwebv:0.07397954727731837 t0:58717.82971582132 x0:0.00024813224050059744 x1:-0.23597927893904735 z:0.136709439513 
SN4: c:0.06996173377097925 mwebv:0.024837666501070603 t0:58602.582681896536 x0:0.0001445986133485733 x1:-0.7712054186062076 z:0.144352841455 
SN5: c:0.09391128091083978 mwebv:0.06242715442296304 t0:58830.90446843774 x0:0.0014412023189407158 x1:0.8063732934590551 z:0.0506369666537 
SN6: c:-0.08213418720267818 mwebv:0.07371946654899922 t0:58817.24918672834 x0:0.0018409011026153787 x1:0.8438628546971572 z:0.0456810136142 
SN7: c:0.03099623789499706 mwebv:0.14307844848918955 t0:58849.18505429286 x0:0.0001529736142317987 x1:-0.794407580189449 z:0.141571558179 
SN8: c:0.07622372247069098 mwebv:0.04176816071943695 t0:58848.41721205696 x0:0.00013607874280016874 x1:-0.961930505093306 z:0.147491493159 
SN9: c:-0.016233234746310554 mwebv:0.040835103168683266 t0:58783.41897441123 x0:0.0004886750459601773 x1:0.5424283388379667 z:0.0720940203888 
SN10: c:0.07514021133032722 mwebv:0.006618671143745482 t0:58913.46309265826 x0:0.0004256721473930161 x1:0.8389034012364474 z:0.112506625184 
SN11: c:0.05900176507137456 mwebv:0.04234158223912628 t0:58723.34952579805 x0:0.00018037538996068856 x1:0.770041838803353 z:0.1411594621 
SN12: c:-0.11821674188440223 mwebv:0.0553554050347752 t0:58665.415376281366 x0:0.00036162805629761914 x1:0.38151310237365443 z:0.109350910486 
SN13: c:-0.03297069107818107 mwebv:0.1395361700153076 t0:58858.465479338556 x0:0.00023960556324208114 x1:0.40842939700437064 z:0.124462517766 
SN14: c:0.010193402351504677 mwebv:0.048479749593185045 t0:58611.637512088266 x0:0.0002622535933585659 x1:0.5530091875571452 z:0.123404615655 
SN15: c:0.03615733835985546 mwebv:0.060212113322954196 t0:58868.495185446154 x0:0.000693412186159163 x1:0.15565018222276183 z:0.0789825902163 
SN16: c:-0.01722957255859292 mwebv:0.02430077136031359 t0:58656.91519960062 x0:0.00029055458589233334 x1:-0.15240055423240717 z:0.092881740416 
SN17: c:0.04490368815001489 mwebv:0.10623176273222314 t0:58744.3151485694 x0:0.000285130036330395 x1:0.7825578537556832 z:0.116944064199 
SN18: c:0.03606917787861619 mwebv:0.07865204583898636 t0:58711.23421200224 x0:0.00018166883486982248 x1:-0.33721968228964894 z:0.136960235307 
SN19: c:0.04575664008965674 mwebv:0.03737204409504263 t0:58561.26674418046 x0:0.0003631306898659655 x1:-0.7918022978919401 z:0.109086897006 
SN20: c:0.010805768215526257 mwebv:0.04456931317601495 t0:58730.04824149912 x0:0.0002979684604526806 x1:-1.578054301186474 z:0.11049854724 
SN21: c:-0.028388741328776668 mwebv:0.009488749187744158 t0:58692.1406088716 x0:0.001047758508859274 x1:0.7744298087030752 z:0.0568229374658 
SN22: c:-0.06813872576474367 mwebv:0.009692028411872026 t0:58607.84537776502 x0:0.00020725106925213252 x1:-0.5165640756031991 z:0.135553052164 
SN23: c:-0.05700248382246942 mwebv:1.0506955366005495 t0:58771.49216481901 x0:0.0012391668906243435 x1:0.31592104017075684 z:0.0621077912488 
SN24: c:0.19969759280732413 mwebv:0.03501035575743415 t0:58637.04577696359 x0:0.0002659464367678605 x1:1.184032375404514 z:0.104910232362 
SN25: c:0.07659387340956414 mwebv:0.06605999175548175 t0:58632.55563638682 x0:0.00017982886304703855 x1:-0.116669362317813 z:0.147214891728 
SN26: c:-0.04214403171792025 mwebv:0.1155161728071989 t0:58812.451291218 x0:0.0003730661036547032 x1:-1.1691858607456658 z:0.102969669122 
SN27: c:0.1713496741130447 mwebv:0.07994185808799331 t0:58566.194572886176 x0:0.0002742300784100667 x1:-0.8378729527452027 z:0.137415494494 
SN28: c:-0.11533782536357773 mwebv:0.04430743403698809 t0:58781.01925655221 x0:0.00024408215239812213 x1:0.9588745581723583 z:0.145821221635 
SN29: c:-0.022186525847001093 mwebv:0.029729512670273364 t0:58728.81286606998 x0:0.00023828397953392884 x1:-0.1710912567063474 z:0.125329506385 
SN30: c:-0.06588492829507864 mwebv:0.0773128714189239 t0:58776.554774962984 x0:0.00048040576861127423 x1:-0.9639083290948216 z:0.105734090883 
SN31: c:-0.08466690487405248 mwebv:0.020181996850400934 t0:58761.24010490788 x0:0.0004824143455725601 x1:-0.044309997172502946 z:0.0838751628008 
SN32: c:-0.00235076463555961 mwebv:0.14000015431796378 t0:58786.40033224791 x0:0.002525805725721169 x1:0.5176530112637518 z:0.0473547205307 
SN33: c:0.11022900955177928 mwebv:0.7574136043969182 t0:58896.579576443255 x0:0.000287673436941963 x1:0.572242826006387 z:0.141206379504 
SN34: c:-0.08440273444559665 mwebv:0.2939032791099183 t0:58886.032842210756 x0:0.00020216938764081572 x1:-0.3866478675478451 z:0.109496576223 
SN35: c:-0.0175247761125501 mwebv:0.053144157084275674 t0:58896.17889404238 x0:0.0010068481234194572 x1:-0.39574338493545547 z:0.0739421471415 
SN36: c:-0.08206006351535233 mwebv:0.34677973821153496 t0:58631.8127819377 x0:0.0008367534359475287 x1:0.5632447963464755 z:0.0763441660001 
