SN1: c:0.632445771777 t0:57979.5199696 x0:0.0322160833691 x1:-3.09374621284 z:0.0111878341449 
SN2: c:0.648650770757 t0:58105.399347 x0:0.00275654212753 x1:-0.633383284227 z:0.0375127599485 
SN3: c:-0.0431946113226 t0:58052.0276729 x0:0.0182062456249 x1:-1.29536307833 z:0.014842034842 
SN4: c:-0.138108356183 t0:57883.4785265 x0:0.00050861528092 x1:-2.75942398812 z:0.0844400556922 
SN5: c:-0.287670068748 t0:57757.1065134 x0:0.00290562742611 x1:1.1280107949 z:0.0365630446828 
SN6: c:0.0962046404312 t0:58070.2176681 x0:0.000434204227478 x1:-1.89943987101 z:0.0909704576812 
SN7: c:0.381913591615 t0:57954.5431039 x0:0.00608687425973 x1:-1.14180448571 z:0.0254681187507 
SN8: c:0.380449757195 t0:58095.1794328 x0:0.00176264559403 x1:-1.0432619221 z:0.046602440459 
SN9: c:0.569073473858 t0:58109.9043732 x0:0.00136396584367 x1:1.12352981687 z:0.0527425682247 
SN10: c:0.350173713802 t0:57796.039925 x0:0.101866836881 x1:2.72461290846 z:0.00631455802557 
SN11: c:-0.0474373882214 t0:58058.9740036 x0:0.000827410008349 x1:-3.76439193679 z:0.0670270098248 
SN12: c:0.234719632075 t0:58022.3118569 x0:0.000468518981122 x1:2.24719231741 z:0.0877727946646 
SN13: c:0.400359925511 t0:57878.6111813 x0:0.00153245405832 x1:-2.15930251037 z:0.0498623426983 
SN14: c:0.0375846298629 t0:57911.0087966 x0:3.99929367146 x1:-1.08679690612 z:0.00101178960477 
SN15: c:-0.141777180012 t0:57887.1886993 x0:0.000438023186588 x1:1.13543670453 z:0.0905967891604 
SN16: c:-0.0852735990293 t0:57968.8587394 x0:0.00237313640058 x1:1.62851284284 z:0.0403462558239 
SN17: c:0.300025557445 t0:58063.313661 x0:0.00041336550191 x1:3.70933440411 z:0.0930963293459 
SN18: c:-0.027717669613 t0:57893.5608207 x0:0.0464720062255 x1:-1.22129711766 z:0.00932798514092 
SN19: c:0.340951094203 t0:57963.2806452 x0:0.00103210583376 x1:-5.22598733326 z:0.0603029386069 
SN20: c:0.0258150388252 t0:58061.7506713 x0:0.00121659395424 x1:-2.98465097609 z:0.0557258197859 
SN21: c:-0.0981850692238 t0:58084.0796363 x0:0.0166417963687 x1:-2.73454615982 z:0.0155162373321 
SN22: c:-0.0489465107326 t0:57872.2645092 x0:0.00113020194937 x1:7.23677813768 z:0.0577330053936 
SN23: c:0.644679682564 t0:58093.2002281 x0:0.00491965520607 x1:5.36516005931 z:0.0282704008675 
SN24: c:0.387078215735 t0:57851.4029539 x0:0.00271735939441 x1:-0.780187538191 z:0.0377750211231 
SN25: c:-0.344359515984 t0:57782.4033856 x0:0.039307152788 x1:-3.87936947074 z:0.0101364605363 
SN26: c:-0.114229762103 t0:58096.0403152 x0:0.00071712665127 x1:7.23040641491 z:0.0717544192738 
SN27: c:0.231729838826 t0:57882.4866653 x0:0.000593563771582 x1:4.87264445177 z:0.0784937079212 
SN28: c:-0.513913922266 t0:57764.2288829 x0:0.615060598466 x1:-1.57080729628 z:0.00257699616667 
SN29: c:-0.0223429921296 t0:57865.2299858 x0:0.000485102637373 x1:-1.26098163037 z:0.0863461371888 
SN30: c:0.830395223603 t0:58103.573964 x0:3.57370066459 x1:2.53661298373 z:0.0010702955823 
SN31: c:-0.444101212207 t0:57933.7820235 x0:0.000445852200187 x1:-2.90446475096 z:0.0898452607958 
SN32: c:-0.0349160751266 t0:57798.6344109 x0:1.00380624333 x1:0.101683797649 z:0.00201803888548 
SN33: c:0.0142888055708 t0:57789.593056 x0:0.0015035065076 x1:-0.984483866771 z:0.0503232927838 
SN34: c:0.23947920531 t0:57865.5736835 x0:0.000395738982969 x1:0.441050411833 z:0.0950189616252 
SN35: c:0.154826893275 t0:57983.8541604 x0:0.000775635380635 x1:-4.93839774218 z:0.0691244109021 
SN36: c:-0.0806306588328 t0:58107.0856257 x0:0.00124302697516 x1:1.96489497949 z:0.0551528787183 
SN37: c:0.38597176713 t0:58013.1491766 x0:0.000415657183506 x1:-2.78106594515 z:0.0928550430843 
SN38: c:-0.325145865211 t0:58006.4281189 x0:0.000390375802878 x1:2.04490814554 z:0.0956286270533 
SN39: c:-0.00538153770682 t0:57953.7483639 x0:0.00262185163934 x1:3.35825505793 z:0.0384382989058 
SN40: c:-0.0413100660884 t0:57759.9219924 x0:0.00552882103593 x1:0.369193746847 z:0.0266983692669 
SN41: c:0.260718612613 t0:57889.8343424 x0:0.0110645693805 x1:-0.9023443631 z:0.018980398117 
SN42: c:-0.367044161715 t0:57962.0141533 x0:0.00045262510434 x1:7.00159239317 z:0.089210322923 
SN43: c:0.133538511618 t0:58053.8378808 x0:0.00115755376937 x1:3.40012638159 z:0.0570738846625 
SN44: c:-0.0130919137582 t0:57780.9954397 x0:0.00261225138582 x1:-1.07873181993 z:0.03850693939 
SN45: c:0.0272677114432 t0:57894.6930397 x0:0.00623769915815 x1:5.60974976149 z:0.0251639632714 
