SN1: c:0.47807328979 t0:57967.1130535 x0:0.000768174422763 x1:-0.80913478916 z:0.0709723946913 
SN2: c:-0.00945569027943 t0:57984.7265887 x0:0.0103055327918 x1:-6.40104176908 z:0.0197706323084 
SN3: c:-0.289292705835 t0:58026.2774794 x0:0.000509021736571 x1:-1.25225530503 z:0.0866581847256 
SN4: c:-0.67452911264 t0:58108.0777858 x0:0.000565669083232 x1:-1.06596200731 z:0.0823420739304 
SN5: c:-5.31040288245e-05 t0:57808.5750299 x0:0.00585650425896 x1:0.161371037996 z:0.026159938503 
SN6: c:0.13731731729 t0:57765.0166287 x0:0.00209694911094 x1:-2.31029911914 z:0.0434214693461 
SN7: c:-0.205570801889 t0:57968.676923 x0:0.0610639394931 x1:-0.207833937166 z:0.00815960649757 
SN8: c:-0.0807683477104 t0:57804.7407183 x0:0.000978974592822 x1:-3.02054420443 z:0.0630625996947 
SN9: c:-0.214737126956 t0:58085.1210296 x0:0.00111649706462 x1:-0.364788536987 z:0.0591416818597 
SN10: c:0.489299526117 t0:57944.1215685 x0:0.0070930453183 x1:-4.62355829718 z:0.023792863806 
SN11: c:-0.291154253145 t0:57838.5195207 x0:0.000394341611766 x1:3.15033530044 z:0.0980250682028 
SN12: c:0.269144488559 t0:57774.0852209 x0:0.000616633201725 x1:3.33767649922 z:0.078969102536 
SN13: c:1.08157828563 t0:57820.4566796 x0:0.000472296519063 x1:-1.78977483197 z:0.0898533450281 
SN14: c:-0.161024166193 t0:57998.7561274 x0:0.000982757184415 x1:4.479664638 z:0.0629440318311 
SN15: c:0.129590168476 t0:58111.8683501 x0:0.00456977095065 x1:-0.91760749422 z:0.0295748158302 
SN16: c:0.382837924264 t0:58068.0517733 x0:0.000975180243701 x1:-0.693359734468 z:0.0631822176673 
SN17: c:-0.189738832857 t0:57913.2972159 x0:0.00121366354072 x1:-1.23863168626 z:0.0567773004061 
SN18: c:-0.0627365919558 t0:58102.9434029 x0:0.0041313714992 x1:2.81265831661 z:0.0310858532823 
SN19: c:-0.144070858348 t0:57898.5844865 x0:0.000432652442439 x1:0.0211397602457 z:0.093739130335 
SN20: c:-0.0905260538124 t0:57919.8584662 x0:0.142615118377 x1:-4.61431997418 z:0.00534523042266 
SN21: c:-0.0019940009169 t0:58092.3787165 x0:0.00076310039501 x1:2.15989889438 z:0.0712016115119 
SN22: c:-0.384761937653 t0:58030.3969888 x0:0.000506567541899 x1:-0.188499294664 z:0.0868610379492 
SN23: c:-0.23144884694 t0:57999.6371493 x0:0.000569093890617 x1:-1.22168151237 z:0.0821015788814 
SN24: c:0.332531035363 t0:57950.452037 x0:0.00252773076352 x1:-3.6297651739 z:0.0396081604881 
SN25: c:0.149495809717 t0:57864.3473312 x0:0.00804122909828 x1:-3.92815534988 z:0.0223588112745 
SN26: c:0.0846421073401 t0:58043.7781231 x0:0.00185895967265 x1:-0.134211505065 z:0.0460692975002 
