SN1: c:0.376329166424 t0:58081.2098794 x0:0.0272222441545 x1:-1.55923494732 z:0.0122011403581 
SN2: c:0.0762970617313 t0:57779.0700388 x0:0.000805184085042 x1:-1.34854177768 z:0.0693654678693 
SN3: c:0.40832510157 t0:57803.5938375 x0:0.00161167469013 x1:-2.27064049887 z:0.0494126297915 
SN4: c:-0.0826303636413 t0:57953.1981189 x0:0.00154869581602 x1:5.8112850355 z:0.0503880403286 
SN5: c:0.148442731847 t0:58025.7294424 x0:0.0433063606626 x1:0.365332691104 z:0.00968326983627 
SN6: c:0.207755119775 t0:57906.8064179 x0:0.000476270170076 x1:0.983597888477 z:0.0894902702676 
SN7: c:-0.0134340349924 t0:57789.4337955 x0:0.000772174991197 x1:3.08604261267 z:0.0707932383566 
SN8: c:0.106919632817 t0:58103.9841887 x0:0.00100847114894 x1:-0.613853685058 z:0.0621555009049 
SN9: c:-0.22534169322 t0:58062.8847835 x0:0.000598316755107 x1:-1.54157522754 z:0.0801325912733 
SN10: c:0.145114489283 t0:57901.9219889 x0:0.000455169322396 x1:-2.3995130952 z:0.0914711061766 
SN11: c:0.0109819867025 t0:57899.3927871 x0:0.000853729143142 x1:-1.39369931777 z:0.0674156243093 
SN12: c:-0.133361404821 t0:58117.760545 x0:0.225561634429 x1:0.0833749518981 z:0.00425212601215 
SN13: c:0.413408857521 t0:57894.2272933 x0:0.0269548056412 x1:-0.651614248592 z:0.0122612259615 
SN14: c:0.169674390795 t0:58098.4741794 x0:0.00170398332911 x1:-1.00280119664 z:0.0480807177059 
SN15: c:0.194788482085 t0:58003.1935076 x0:0.00137980993555 x1:2.52101378225 z:0.053321415779 
SN16: c:0.102684454596 t0:57944.9380302 x0:0.000488063752575 x1:0.733326062154 z:0.0884383617383 
SN17: c:-0.082143769347 t0:58030.6369083 x0:0.00225908582588 x1:0.0101736160007 z:0.0418599599568 
SN18: c:-0.168151394078 t0:57969.707707 x0:0.00706858339859 x1:5.55576911135 z:0.0238336128645 
SN19: c:0.32854180688 t0:57799.5216421 x0:0.00245744090772 x1:0.536354889957 z:0.0401618639534 
SN20: c:0.104569386541 t0:58066.0986708 x0:0.000637964581779 x1:-0.229664660811 z:0.0776765779458 
SN21: c:0.276459775791 t0:57952.8645252 x0:0.000935588946101 x1:2.06037480578 z:0.0644727455783 
SN22: c:-0.357259190891 t0:57960.3893641 x0:0.0187160175167 x1:1.36224174999 z:0.0147002206173 
SN23: c:0.401056128482 t0:57986.095773 x0:0.000692760081008 x1:-4.91564973904 z:0.0746295156593 
SN24: c:0.0978714676375 t0:58083.3334962 x0:0.000547013266438 x1:-2.52158284277 z:0.083690726512 
SN25: c:0.0879611133311 t0:57925.6784733 x0:0.000873665078281 x1:5.94073905602 z:0.0666615938944 
SN26: c:-0.156482162633 t0:58023.1182715 x0:0.00108634279822 x1:-0.0857100833744 z:0.0599382231389 
SN27: c:-0.208226812401 t0:58114.5325799 x0:0.00159431889924 x1:3.32182307036 z:0.049675728755 
SN28: c:-0.275973121961 t0:57863.7248254 x0:0.00122446996256 x1:4.65755930831 z:0.056531636098 
SN29: c:-0.121764794307 t0:57986.4907198 x0:0.00459346782162 x1:-2.9055902482 z:0.0294993121293 
SN30: c:-0.119189728554 t0:57911.3924826 x0:0.0844172465946 x1:3.31094146861 z:0.00694315269626 
SN31: c:-0.395555052541 t0:57981.9532902 x0:0.0012635373791 x1:-1.57105540059 z:0.0556695923583 
SN32: c:-0.100219504814 t0:58056.9983591 x0:0.00524319431861 x1:-2.82776924179 z:0.0276315375486 
SN33: c:-0.0116189066305 t0:58029.8655816 x0:0.000526558578771 x1:-4.44262847376 z:0.0852493373952 
SN34: c:0.226702217135 t0:58113.0601508 x0:0.000946995112175 x1:0.711018888381 z:0.0640927915338 
SN35: c:-0.166386792769 t0:58064.4239276 x0:0.00129943114488 x1:1.02660712585 z:0.0549116224906 
SN36: c:-0.601628051427 t0:58096.9365097 x0:0.247944572759 x1:-1.56479599553 z:0.00405597675778 
SN37: c:0.0297396356767 t0:58005.0331246 x0:0.00753942607705 x1:3.41146819263 z:0.0230842567775 
SN38: c:-0.0947299438246 t0:57949.5413256 x0:0.000875138211308 x1:4.30218617348 z:0.0666068838121 
SN39: c:0.630984485895 t0:57949.7510192 x0:0.404220043117 x1:1.01327144402 z:0.00317772409191 
SN40: c:-0.643660582209 t0:58070.7547661 x0:0.00314157499696 x1:0.258515387062 z:0.0355848330586 
SN41: c:0.285217206923 t0:58107.7668787 x0:0.00110907482938 x1:-4.09425798197 z:0.0593347712498 
SN42: c:-0.0219517754645 t0:58074.8540842 x0:0.00258203429981 x1:-2.40394038472 z:0.0391958058979 
SN43: c:-0.428798361627 t0:57934.6198927 x0:0.00572333226895 x1:-0.634626972919 z:0.0264593999267 
SN44: c:0.24503153591 t0:57970.5163885 x0:0.0010002703603 x1:-2.03765807637 z:0.0624037281662 
SN45: c:-0.100855369405 t0:58032.8406807 x0:0.000857006836353 x1:-4.10510446447 z:0.0672898782084 
SN46: c:0.405071343941 t0:57870.8707773 x0:0.00122279542526 x1:2.66768535682 z:0.0565694933359 
SN47: c:-0.13310707813 t0:58000.419045 x0:0.00203612189958 x1:2.3204295142 z:0.0440543224291 
SN48: c:0.115203295493 t0:57914.1323477 x0:0.00132612133176 x1:-4.4887970467 z:0.0543677966819 
SN49: c:0.497144049723 t0:57924.1317416 x0:0.249463765316 x1:-1.28211318829 z:0.00404362772974 
SN50: c:-0.224971012793 t0:58100.0559165 x0:0.000834393456631 x1:0.105385260997 z:0.0681721845853 
SN51: c:-0.0915719432675 t0:58082.3027698 x0:0.00142838397252 x1:-4.16229070344 z:0.0524253407626 
SN52: c:-0.673776839734 t0:57777.7327285 x0:0.00067976818544 x1:-0.23823685846 z:0.0753191346771 
SN53: c:-0.040610778571 t0:57938.0996885 x0:0.00110214036387 x1:4.86582387891 z:0.0595169048351 
SN54: c:-0.0756975983337 t0:57941.6363756 x0:0.000380430891738 x1:0.91606613317 z:0.0997354939132 
SN55: c:0.122215016931 t0:57945.682117 x0:0.000745834547825 x1:-2.36659247758 z:0.0719987235555 
SN56: c:-0.0912301617162 t0:57858.8432408 x0:0.0115391450224 x1:-2.17596629457 z:0.0186919633909 
SN57: c:0.178214432092 t0:57774.6835456 x0:0.000390036212279 x1:0.625250552052 z:0.0985448891457 
SN58: c:0.361950717607 t0:57786.9995387 x0:0.0206550271823 x1:-1.86910259127 z:0.0139971343206 
