SN1: c:0.0535438745476 t0:58229.0396486 x0:0.000289671293843 x1:-0.808226647685 z:0.109914829546 
SN2: c:0.765160866449 t0:58203.294295 x0:0.00090333454696 x1:0.197586120717 z:0.0642747392394 
SN3: c:0.212672574986 t0:58181.9561495 x0:0.000170187135556 x1:3.33616283517 z:0.140429712529 
SN4: c:-0.185788229693 t0:58227.5235554 x0:0.000176131637321 x1:0.657287081771 z:0.138244572186 
SN5: c:0.390302616639 t0:58222.1665606 x0:0.000155365414845 x1:0.259276623844 z:0.146384149614 
SN6: c:0.0102592086415 t0:58235.4061428 x0:0.0182951294028 x1:-2.45851487717 z:0.0148063293284 
SN7: c:-0.111464748465 t0:58188.4700674 x0:0.00043515389928 x1:0.390207644897 z:0.0908770943502 
SN8: c:-0.0926713895946 t0:58240.0380092 x0:0.00015679970829 x1:1.1901769312 z:0.145773281158 
SN9: c:-0.137696911227 t0:58203.3993262 x0:0.000567407198984 x1:0.393904881979 z:0.0801864036652 
SN10: c:-0.247134904409 t0:58215.9144884 x0:0.000182408305278 x1:-7.15848912101 z:0.13604830087 
SN11: c:0.563581892147 t0:58186.3202306 x0:0.00021244643205 x1:1.16675004307 z:0.126857378164 
SN12: c:0.0837683937703 t0:58206.74926 x0:0.000333436306202 x1:-1.26475470894 z:0.102944938855 
SN13: c:0.199157044123 t0:58229.5263979 x0:0.000177790904427 x1:2.64650483973 z:0.137653274028 
SN14: c:0.1170895834 t0:58211.2568824 x0:0.000344350892084 x1:-1.45308597834 z:0.101408785096 
SN15: c:-0.194849515799 t0:58204.7391336 x0:0.00019798386556 x1:2.04759025594 z:0.131034305481 
SN16: c:-0.356970536439 t0:58215.6808671 x0:0.00686463744273 x1:-4.05167934102 z:0.0240077922039 
SN17: c:-0.20104291897 t0:58227.8421121 x0:0.000249956472676 x1:-2.08076582925 z:0.117690972799 
SN18: c:0.225432920823 t0:58184.6087533 x0:0.000212981869531 x1:2.7723639643 z:0.12671055832 
SN19: c:-0.469756365293 t0:58235.3856158 x0:0.000155430465294 x1:7.0847855062 z:0.146356271575 
SN20: c:-0.0826788844844 t0:58208.7009834 x0:0.0010505412554 x1:0.00389078753186 z:0.0597933474959 
SN21: c:0.307656325073 t0:58180.2503195 x0:0.000595457965647 x1:-2.35869860956 z:0.078375332851 
SN22: c:0.756774019634 t0:58194.4905054 x0:0.000421748720678 x1:4.53824538302 z:0.092222903707 
SN23: c:-0.0678353446399 t0:58226.8495714 x0:0.000192640437082 x1:-4.74983370675 z:0.132689223784 
SN24: c:0.52210141529 t0:58222.0815974 x0:0.000154124568777 x1:-1.07357600332 z:0.146919116459 
SN25: c:0.159693521371 t0:58185.4142748 x0:0.000198675262565 x1:-4.5580194501 z:0.130824819925 
SN26: c:-0.261589135535 t0:58239.2010939 x0:0.000151813358265 x1:-0.358842831841 z:0.147932016154 
SN27: c:-0.126333582569 t0:58178.3863824 x0:0.000195488417821 x1:8.26290955951 z:0.131799153135 
SN28: c:-0.355715321998 t0:58229.2403457 x0:0.000197082528305 x1:-1.34675655075 z:0.131308970755 
SN29: c:-0.038537376765 t0:58182.1072497 x0:0.000619684180909 x1:3.77128258784 z:0.0769079784583 
SN30: c:0.397513529254 t0:58220.8322138 x0:0.000346109870667 x1:-0.831637715882 z:0.101167765084 
SN31: c:0.102194162292 t0:58222.2185104 x0:0.000288565369132 x1:-3.20526115433 z:0.110110336159 
SN32: c:0.0811130324034 t0:58208.9962708 x0:0.000202823629364 x1:0.27892278461 z:0.129589370106 
SN33: c:-0.285218486993 t0:58182.930325 x0:0.000174665341558 x1:0.713127749964 z:0.138773732015 
SN34: c:0.378141257163 t0:58220.0815565 x0:0.000593903103784 x1:2.15672812285 z:0.0784724615719 
SN35: c:-0.753036142623 t0:58198.1155073 x0:0.000179789912791 x1:2.42078961983 z:0.136951240993 
SN36: c:-0.581693521198 t0:58229.7418676 x0:0.000516571851101 x1:-3.16244657255 z:0.0838236748249 
SN37: c:0.0792133482614 t0:58201.397996 x0:0.000156324106205 x1:0.453367945679 z:0.145974959885 
SN38: c:-0.0157192186913 t0:58241.6719095 x0:0.000152831784449 x1:0.406243503109 z:0.147483010052 
SN39: c:0.281747888859 t0:58236.9876781 x0:0.000263787847774 x1:-0.965659832013 z:0.114793192138 
SN40: c:-0.144260004225 t0:58216.8833092 x0:0.0002500925061 x1:1.9342547184 z:0.117661361603 
