SN1: c:-0.53017981154 t0:58644.3609365 x0:0.00308206374185 x1:-2.98789220875 z:0.0355279210067 
SN2: c:-0.177510998367 t0:58485.0753798 x0:0.00202327071637 x1:1.96991662414 z:0.0435925692216 
SN3: c:0.380966409208 t0:58381.2255627 x0:0.00564502989316 x1:-3.23982904502 z:0.0264273986192 
SN4: c:-0.130201048113 t0:58531.32939 x0:0.000174523313584 x1:-4.97567230438 z:0.138825322721 
SN5: c:-0.271544798194 t0:58369.5780793 x0:0.0216809631782 x1:0.992371369939 z:0.0136132051459 
SN6: c:0.0376647415833 t0:58592.2416015 x0:0.00083952238111 x1:0.917663085214 z:0.0665637507116 
SN7: c:0.67923908541 t0:58515.9198843 x0:0.00738107946303 x1:3.13134016772 z:0.0231670204422 
SN8: c:-0.138682811941 t0:58315.251728 x0:0.0012340805588 x1:-0.384017160165 z:0.0553447827184 
SN9: c:-0.237080258198 t0:58629.2753638 x0:0.000361936998504 x1:-0.672924360708 z:0.0990755597711 
SN10: c:-0.0766756342671 t0:58478.4639558 x0:0.00053445753819 x1:-0.0886029618021 z:0.0824869598301 
SN11: c:0.139404118578 t0:58417.2691648 x0:0.000500049185641 x1:0.151044470331 z:0.0851194461032 
SN12: c:0.172517056934 t0:58406.942505 x0:0.00110163553087 x1:-0.59636684668 z:0.0584467606232 
SN13: c:-0.339773854251 t0:58405.631808 x0:0.000489184524154 x1:-3.5085691806 z:0.0860057555759 
SN14: c:-0.0333840537834 t0:58427.3426903 x0:0.00354182293683 x1:-2.02626609786 z:0.0331983803004 
SN15: c:-0.348896754096 t0:58339.1667466 x0:0.0131878721588 x1:2.7080160284 z:0.0174056891335 
SN16: c:-0.102028180401 t0:58481.2419009 x0:0.000252858671729 x1:4.41243048726 z:0.117064188401 
SN17: c:-0.241174107654 t0:58512.8310376 x0:0.00195311759389 x1:-1.74051123651 z:0.0443443421607 
SN18: c:-0.538291429372 t0:58474.1363262 x0:0.00396316599329 x1:-0.22127616026 z:0.0314248487184 
SN19: c:0.159601633586 t0:58577.9154198 x0:0.0010961744007 x1:5.34189492085 z:0.0585862966368 
SN20: c:0.577138838194 t0:58512.4346198 x0:0.000166183683779 x1:0.68664696376 z:0.141963420862 
SN21: c:-0.159788645658 t0:58618.9252995 x0:0.000414246923654 x1:0.191071535927 z:0.0930032984823 
SN22: c:-0.426177157426 t0:58523.2586715 x0:0.00142944130541 x1:1.22089359443 z:0.0515643080615 
SN23: c:0.270833893834 t0:58555.3749781 x0:0.411356199067 x1:0.947294774807 z:0.0031497605628 
SN24: c:0.760493258507 t0:58405.2497755 x0:0.00217462079344 x1:5.2823325649 z:0.0420940393213 
SN25: c:0.207871703127 t0:58524.5728038 x0:0.000711023525923 x1:2.35485622391 z:0.072046727761 
SN26: c:-0.157476368668 t0:58304.3973384 x0:0.000280317891422 x1:-0.0657082614791 z:0.111603010529 
SN27: c:0.18235866906 t0:58524.818304 x0:0.00202139958774 x1:-1.14908573032 z:0.0436121212212 
SN28: c:0.644808276302 t0:58546.644547 x0:0.000512370641846 x1:0.633510099071 z:0.0841474089294 
SN29: c:0.539185686383 t0:58591.1201876 x0:0.000208348380448 x1:-0.615243749718 z:0.127998837119 
SN30: c:0.219389591923 t0:58501.30355 x0:0.000216883167793 x1:-5.1281228405 z:0.125656469437 
SN31: c:-0.255016512306 t0:58376.4633905 x0:0.000194812417169 x1:-0.756821097536 z:0.132008743068 
SN32: c:-0.0825203128046 t0:58652.4207318 x0:0.000161268652858 x1:-3.85351990295 z:0.143919675584 
SN33: c:-0.1022883219 t0:58330.4692925 x0:0.000247928121681 x1:1.58808286869 z:0.118135248445 
SN34: c:-0.203829307708 t0:58528.8067741 x0:0.00108716715027 x1:5.37192324224 z:0.0588186721122 
SN35: c:-0.0846890560464 t0:58341.0687976 x0:0.00567765898252 x1:4.42140379521 z:0.0263527968588 
SN36: c:-0.3523314632 t0:58545.8288615 x0:0.00144550114598 x1:1.33274806403 z:0.0512873202729 
SN37: c:-0.433890742296 t0:58448.2525456 x0:0.0034879191871 x1:-3.56531968217 z:0.0334478220768 
SN38: c:-0.0401071736475 t0:58500.6226836 x0:0.000268331902343 x1:3.41535293737 z:0.113888232596 
SN39: c:-0.490087832159 t0:58313.8545109 x0:0.000164317604603 x1:-2.6476061448 z:0.142696359045 
SN40: c:0.597313710262 t0:58591.2779174 x0:0.00419656501848 x1:1.43719542379 z:0.0305578870881 
SN41: c:0.276608888585 t0:58360.0979148 x0:0.000269813604917 x1:5.19112873212 z:0.113597879889 
SN42: c:0.0758415005799 t0:58498.4237227 x0:0.00231106802711 x1:-2.7715924232 z:0.0408689064275 
SN43: c:0.281645121172 t0:58635.3689868 x0:0.000969248067855 x1:-2.12503185738 z:0.0621454481727 
SN44: c:0.424301474328 t0:58486.873211 x0:0.000167536484723 x1:-0.746696964156 z:0.141439349327 
SN45: c:0.00449260361899 t0:58640.3682387 x0:0.00241127204521 x1:-1.76604469044 z:0.0400350058992 
SN46: c:0.0647996278134 t0:58579.7289817 x0:0.00351938645992 x1:2.81085830976 z:0.0333015203887 
SN47: c:-0.094055891514 t0:58398.447786 x0:0.00071483488326 x1:0.945636219786 z:0.0718637577746 
SN48: c:-0.309569395455 t0:58304.3876963 x0:0.00376984851162 x1:5.2510080659 z:0.0322021663647 
SN49: c:0.0349907393123 t0:58651.7506157 x0:0.0009781355972 x1:-1.49374478089 z:0.0618744854111 
SN50: c:-0.424287198755 t0:58419.7623161 x0:0.000376488126477 x1:1.95452556364 z:0.097265017976 
