SN1: c:0.0038398644787018717 mwebv:0.6368299677757563 t0:58678.49818488358 x0:0.0035094158989326823 x1:0.13050485160332306 z:0.03826458442501344 
SN2: c:-0.06526365319019796 mwebv:0.032874660382963966 t0:58901.90402745487 x0:0.0003134277087162204 x1:0.19883742219348854 z:0.13033867055693585 
SN3: c:-0.021326635483999885 mwebv:0.013837832434471412 t0:58805.124731377444 x0:0.00037923484585987086 x1:-0.757952510209482 z:0.08509959583548046 
SN4: c:-0.5380531842654936 mwebv:0.0929255451404267 t0:58705.38681852032 x0:8.255802248574706e-05 x1:0.1698989952351307 z:0.12916376576415753 
SN5: c:-0.023925503183009768 mwebv:0.04346476905248074 t0:58912.697434993635 x0:0.000189663982834782 x1:0.10274993601511304 z:0.1467924710110916 
SN6: c:0.09859052059557787 mwebv:0.02058590741758349 t0:58586.08744434519 x0:0.0009695540810131224 x1:0.44932794164362994 z:0.08336961054870753 
SN7: c:-0.045761465208776796 mwebv:0.01036127102304344 t0:58931.456587304 x0:0.00013179098297457593 x1:0.2245446976516218 z:0.14528185840744576 
SN8: c:-0.3571755595699562 mwebv:0.05955236369987694 t0:58776.64633473048 x0:-0.20298232392793003 x1:-0.3536958888004732 z:0.1335860731673358 
SN9: c:0.00796679978967722 mwebv:0.10959656882455623 t0:58881.26131690788 x0:0.0008305093676069048 x1:0.06995092024505174 z:0.11586957756353475 
SN10: c:-0.0034015579716823317 mwebv:0.6530347362327797 t0:58593.91584488888 x0:0.0008100932034994388 x1:0.3051875908681118 z:0.08038800082343882 
SN11: c:0.0379417654767492 mwebv:0.3758409771253578 t0:58823.04174119364 x0:0.0006390456336543858 x1:-0.8963321188728435 z:0.08046456742664324 
SN12: c:-0.02710213401092964 mwebv:0.02902442436387787 t0:58917.10210723319 x0:0.0005781837986095912 x1:0.22399597166672028 z:0.09935136398567716 
SN13: c:-0.5000575001239986 mwebv:0.1293375633240822 t0:58705.02351091866 x0:0.0018628005982224834 x1:-0.9520336684363939 z:0.08663408981013429 
SN14: c:0.07539614593559467 mwebv:0.4941085651331796 t0:58662.77305023796 x0:0.0003485807344571534 x1:-0.08235653849052028 z:0.12815444159700493 
