SN1: c:0.0387327051932 t0:58084.4929995 x0:0.0143920682907 x1:3.22844386969 z:0.0166706820254 
SN2: c:-0.254671269954 t0:57899.5452711 x0:0.000433557054637 x1:3.92732224764 z:0.09103425105 
SN3: c:-0.451293024276 t0:57911.4770663 x0:0.271509691789 x1:2.5464155388 z:0.00387488064375 
SN4: c:0.350812036742 t0:57804.0588939 x0:0.000414092166713 x1:2.57433334344 z:0.0930196118389 
SN5: c:-0.0742970675151 t0:58103.3822106 x0:0.0010358526918 x1:1.04183488095 z:0.0601982967509 
SN6: c:0.131932136755 t0:57826.9911088 x0:0.00353212938527 x1:-2.46475107303 z:0.0332428226677 
SN7: c:-0.428668541419 t0:57914.3029047 x0:0.215390228903 x1:-5.9868151652 z:0.00434894645658 
SN8: c:0.0412813275218 t0:58040.1697225 x0:0.0142471575298 x1:-0.578827630618 z:0.0167542113578 
SN9: c:-0.276859281838 t0:58088.2869435 x0:0.000414517212244 x1:-2.83868062596 z:0.0929748276912 
SN10: c:0.331972323484 t0:58035.3029918 x0:0.0846442484698 x1:2.91228915441 z:0.00692409604952 
SN11: c:0.0484789121955 t0:58085.8827323 x0:0.000945485850431 x1:0.658953618549 z:0.0628880642987 
SN12: c:-0.172326696925 t0:57764.0409293 x0:0.00187517069591 x1:-1.73621958407 z:0.0452276121412 
SN13: c:-0.187288302309 t0:58067.3871063 x0:0.000426728982884 x1:-0.437161714938 z:0.0917157933409 
SN14: c:0.064154285682 t0:58084.5503442 x0:0.0193047107925 x1:2.57227378878 z:0.014418118003 
SN15: c:0.183539017291 t0:58035.0294083 x0:0.0161930621855 x1:4.08987262444 z:0.0157272964684 
SN16: c:0.151880668033 t0:57804.6064613 x0:0.0304960014469 x1:1.71453064967 z:0.0114963846551 
SN17: c:0.610163276129 t0:58039.9189673 x0:0.00150686821355 x1:-2.66236850475 z:0.0502690967382 
SN18: c:0.0893250896824 t0:57931.0063751 x0:0.000904490882325 x1:1.99295338199 z:0.0642354464077 
SN19: c:0.0929573535987 t0:57995.1216503 x0:0.00436000659022 x1:0.0668291262151 z:0.0299921032885 
SN20: c:0.265974823114 t0:58075.8513228 x0:0.0011393829051 x1:-3.99506550862 z:0.0575091865816 
SN21: c:-0.186298267851 t0:58056.8526499 x0:0.00223699852583 x1:-0.752431284797 z:0.0415203219212 
SN22: c:0.254323261004 t0:58029.3110518 x0:0.00316634436653 x1:-0.652296603026 z:0.0350637861729 
SN23: c:-0.628500014519 t0:57845.8928619 x0:0.00148332547552 x1:-2.4340006848 z:0.0506524185396 
SN24: c:0.0976809111154 t0:57894.4292627 x0:0.00387540315411 x1:-1.1449958985 z:0.0317706325103 
SN25: c:-0.307920355572 t0:57858.7548258 x0:0.00194371940186 x1:3.90950491366 z:0.0444480722056 
SN26: c:0.558497046495 t0:58009.5833801 x0:0.108462794087 x1:5.10376303716 z:0.00612042968675 
SN27: c:0.0391103003972 t0:57785.8068304 x0:0.0497543556959 x1:1.14644119373 z:0.00901713479258 
SN28: c:0.312582609074 t0:57981.1427035 x0:0.00291630887203 x1:2.04937343265 z:0.0364977635369 
SN29: c:0.340530821537 t0:57818.2433554 x0:0.00169517317846 x1:-2.51385354665 z:0.0474902865689 
SN30: c:0.124170514059 t0:57937.4537236 x0:0.00823058732186 x1:0.272418587362 z:0.0219584566637 
SN31: c:0.407644326979 t0:57914.3968268 x0:0.0124500142436 x1:-0.00439568731009 z:0.017907393745 
SN32: c:0.23118200108 t0:57897.6190428 x0:0.000570204265423 x1:-1.90160519219 z:0.0800000372989 
SN33: c:-0.372396912298 t0:57841.1552468 x0:0.000723796071101 x1:0.166526515527 z:0.071439095642 
SN34: c:-0.105457923553 t0:57794.993845 x0:0.000372515967785 x1:-3.00442294688 z:0.0977491355648 
SN35: c:0.142954073829 t0:57935.3933198 x0:0.130270124881 x1:0.199141622222 z:0.00558692583219 
SN36: c:-0.584897192141 t0:57894.0843808 x0:0.000372227267461 x1:3.28925776063 z:0.097784611411 
SN37: c:-0.0658399490879 t0:58046.2775653 x0:0.000622029059619 x1:3.51345729302 z:0.0767703716145 
SN38: c:0.518165369206 t0:58046.9740179 x0:0.00174834720205 x1:-0.794409025442 z:0.0467863788655 
SN39: c:-0.120696079302 t0:57987.6828274 x0:0.0101391845954 x1:3.63455881792 z:0.0198154062864 
SN40: c:0.0762257356842 t0:57866.8180153 x0:0.00210138434095 x1:6.46482521833 z:0.0427993313576 
SN41: c:0.0225375463955 t0:57936.3672863 x0:0.0106778387862 x1:-2.18417677918 z:0.0193162602257 
SN42: c:-0.649284636718 t0:57869.0187185 x0:0.000463991272945 x1:0.795082224711 z:0.0881750476525 
SN43: c:0.0255667407024 t0:57758.1494103 x0:0.00412145246989 x1:-7.27578434397 z:0.0308289579495 
SN44: c:-0.182966329948 t0:57786.2377194 x0:0.000499297606258 x1:1.16629266047 z:0.0851798582078 
SN45: c:-0.2425397591 t0:58036.116855 x0:0.00113137682929 x1:3.96057029333 z:0.0577042154114 
SN46: c:0.219674621842 t0:57911.3368831 x0:0.000482164312342 x1:1.34544572956 z:0.0865937334587 
SN47: c:0.157406097007 t0:57969.4144495 x0:0.000376027411613 x1:6.46856061984 z:0.0973207909467 
SN48: c:0.279101651328 t0:57807.1079432 x0:0.000552163697007 x1:5.3215887212 z:0.081225977617 
SN49: c:-0.0173126038641 t0:58100.9537036 x0:0.00851043314176 x1:-1.9865016695 z:0.021600123526 
SN50: c:0.196738217542 t0:57840.8295539 x0:0.00103636012629 x1:-0.916957650386 z:0.0601841676676 
SN51: c:-0.269585874348 t0:58112.76065 x0:0.0183380593332 x1:-2.558485038 z:0.0147891763191 
SN52: c:0.100053208202 t0:58077.8110562 x0:0.00216823147756 x1:2.76930611463 z:0.0421541718329 
SN53: c:-0.417930329983 t0:57766.4947905 x0:0.00143702907053 x1:1.90234033547 z:0.0514328748142 
SN54: c:-0.259885778804 t0:58077.2594019 x0:0.00101746016461 x1:0.591325997644 z:0.060717343843 
SN55: c:-0.14892271908 t0:57873.3807921 x0:0.00154266028558 x1:6.6415672936 z:0.0497028554685 
SN56: c:0.471911187963 t0:58012.7815047 x0:0.0051040430758 x1:3.11605001891 z:0.0277653563855 
SN57: c:-0.0283173952091 t0:57996.1908152 x0:3.43246936259 x1:2.40970898749 z:0.00109207482672 
SN58: c:0.141019538362 t0:58059.7001594 x0:0.000359852646325 x1:-2.48107446363 z:0.0993434974915 
SN59: c:-0.178835007265 t0:58048.124126 x0:0.00116346722738 x1:1.99734451207 z:0.0569343703814 
SN60: c:0.233747399086 t0:57773.6418527 x0:0.000655557043889 x1:-0.502577236353 z:0.0748817192986 
SN61: c:0.286006840783 t0:58056.8172813 x0:0.000573041730253 x1:1.92031240504 z:0.0798123281374 
SN62: c:0.420085633966 t0:57767.7876244 x0:0.0022301584118 x1:1.27434746557 z:0.0415820787974 
SN63: c:0.519877130968 t0:57917.7455872 x0:0.000533979946183 x1:-5.15301227972 z:0.0825218086021 
SN64: c:-0.164583779762 t0:57842.4810136 x0:0.0315950949574 x1:1.82274476454 z:0.0112963336739 
SN65: c:0.25787494165 t0:57944.0654669 x0:0.000610759741132 x1:-1.14947160306 z:0.0774386893631 
SN66: c:-0.0486696995049 t0:57801.3159786 x0:0.00130848320094 x1:6.74256903634 z:0.0538078086005 
SN67: c:-0.148509762707 t0:57943.9184166 x0:0.000793603222423 x1:-0.746528586617 z:0.0683739983916 
SN68: c:0.348591717474 t0:57805.5605062 x0:0.00214964610562 x1:5.13604352468 z:0.0423305786312 
SN69: c:-0.195373113792 t0:57990.3389432 x0:0.00188812517084 x1:0.607670681561 z:0.0450771123394 
SN70: c:-0.546624947869 t0:57954.6418288 x0:0.0164859260286 x1:-2.76990131438 z:0.015588579797 
SN71: c:0.202334196613 t0:57920.7078671 x0:0.00273798204653 x1:1.07327324869 z:0.0376362981975 
SN72: c:0.0897609841403 t0:58017.4595961 x0:0.00446949515204 x1:-0.263188139608 z:0.0296303321619 
SN73: c:0.399095873966 t0:58082.5553368 x0:0.00192050924096 x1:0.65714984032 z:0.0447074363182 
SN74: c:0.227475826384 t0:57836.0873941 x0:0.00101999020102 x1:-1.91713198755 z:0.0606451351515 
SN75: c:-0.189633675904 t0:57818.3894237 x0:0.0191379801512 x1:1.20355044144 z:0.0144801211804 
SN76: c:-0.0989011736326 t0:57938.6603688 x0:0.000636197722864 x1:2.31296082201 z:0.0759546272422 
SN77: c:0.0247871178948 t0:57877.6946451 x0:0.00363743692954 x1:-0.759977703214 z:0.0327694330051 
SN78: c:-0.0611115701743 t0:57826.8848947 x0:2.91237622006 x1:0.899334719439 z:0.00118550008202 
SN79: c:0.125646590141 t0:58026.1484799 x0:0.00039263575718 x1:0.744653320562 z:0.095370261233 
SN80: c:-0.2801147599 t0:57974.0394773 x0:0.0301331126978 x1:2.76397739991 z:0.0115648136869 
SN81: c:-0.291775312656 t0:58005.8011731 x0:0.000707557468863 x1:0.0099457430589 z:0.0722143632287 
SN82: c:-0.0833860768726 t0:58072.3898319 x0:0.000624160487363 x1:0.894451669925 z:0.0766459423769 
SN83: c:0.279421079865 t0:57950.9107883 x0:0.0094337756482 x1:0.333290113046 z:0.0205320250664 
SN84: c:0.111230417193 t0:58093.1365678 x0:0.0198393907293 x1:1.84850044898 z:0.0142245468579 
SN85: c:0.225327654376 t0:57923.0702957 x0:0.00686691198742 x1:-0.482321838123 z:0.0240038848924 
SN86: c:-0.140793062692 t0:58072.917982 x0:0.00158987091396 x1:-2.13646780017 z:0.0489847735538 
SN87: c:-0.652760091365 t0:58092.048985 x0:0.019026802542 x1:-2.80465411819 z:0.0145219144591 
SN88: c:-0.0733455681045 t0:58010.4478419 x0:0.00164155847016 x1:0.524159551846 z:0.0482336265966 
SN89: c:-0.0128350807501 t0:57886.0264724 x0:0.000541531969908 x1:-1.89109800204 z:0.0819759802748 
SN90: c:-0.364342158114 t0:57911.0969651 x0:0.000577989312614 x1:-1.94887913778 z:0.0794882279915 
SN91: c:0.108477295033 t0:57935.693226 x0:0.00094163583904 x1:3.48420058914 z:0.0630109507118 
SN92: c:-0.523590351403 t0:57811.7075377 x0:0.000547284174315 x1:0.0184234251934 z:0.0815675771968 
SN93: c:0.0711583237511 t0:58036.8770056 x0:0.0281367694131 x1:-5.00916812485 z:0.0119644978475 
SN94: c:0.0477392605116 t0:57988.9423876 x0:0.00768920181068 x1:-0.153340527299 z:0.0227058191776 
SN95: c:0.0834320172878 t0:57902.8822218 x0:0.00366989885903 x1:0.33165116616 z:0.0326275690291 
SN96: c:0.452561127706 t0:57839.852266 x0:0.00152385329518 x1:-0.751288303304 z:0.0499979564589 
SN97: c:-0.582065711496 t0:57937.5810796 x0:0.000396321482247 x1:-0.791499803645 z:0.0949534624273 
SN98: c:0.224674169891 t0:57840.4298365 x0:0.000393843354992 x1:6.27778385748 z:0.0952330813973 
SN99: c:-0.213226604617 t0:57910.1195967 x0:0.0146686606166 x1:5.42794758301 z:0.0165146713139 
SN100: c:-0.0873733027416 t0:57992.9227073 x0:0.00332458569312 x1:1.87351351757 z:0.0342397606476 
