SN1: c:-0.255585904699 t0:58020.4273211 x0:0.000795861881435 x1:2.61038675607 z:0.0682814165653 
SN2: c:0.152791647192 t0:57841.8000459 x0:0.000426124781715 x1:5.61405153329 z:0.0917768592901 
SN3: c:-0.267027750504 t0:57940.560637 x0:0.00105145538121 x1:-1.52863902257 z:0.0597684194192 
SN4: c:-0.127296100381 t0:57799.4580774 x0:0.00229567737801 x1:4.503154875 z:0.0410017114954 
SN5: c:-0.0541371641575 t0:57766.8748849 x0:0.000181420593716 x1:2.02855618664 z:0.136386730581 
SN6: c:0.152854868067 t0:57918.5818597 x0:0.000150847452139 x1:-2.34780680319 z:0.148361829772 
SN7: c:-0.164347793356 t0:57770.9641789 x0:2.9724173116 x1:-3.05088019159 z:0.00117347636916 
SN8: c:-0.13337097778 t0:57791.423025 x0:0.000573594158786 x1:-1.64844121519 z:0.0797759394912 
SN9: c:-0.0771141923007 t0:58091.9560785 x0:0.00024469920878 x1:-1.5530489311 z:0.118853318113 
SN10: c:-0.0531157073277 t0:58102.1467166 x0:0.000158626698776 x1:-4.46808310049 z:0.14500654302 
SN11: c:-0.0437531639467 t0:58035.6908322 x0:0.00110216848087 x1:2.80272336415 z:0.0584331974854 
SN12: c:-0.102126941254 t0:58007.4771589 x0:0.000311915911264 x1:-1.79883688017 z:0.1061965901 
SN13: c:0.0791810598403 t0:57956.1302829 x0:0.000157485378728 x1:2.68184855904 z:0.145484045298 
SN14: c:-0.453471433509 t0:57834.0854827 x0:0.000636451468237 x1:-3.50119117048 z:0.0759402588914 
SN15: c:-0.052597817166 t0:57764.125012 x0:0.000448459193441 x1:-3.19779467892 z:0.0895992246291 
SN16: c:-0.122772540295 t0:57787.122821 x0:0.00494849347975 x1:2.85551381998 z:0.0281895782587 
SN17: c:-0.0378489014203 t0:57946.4528419 x0:0.00868778593364 x1:-3.91840731395 z:0.0213819566872 
SN18: c:-0.724100681753 t0:57918.2436903 x0:0.000159825110416 x1:5.55484219271 z:0.144510372603 
SN19: c:0.287755636325 t0:58068.9564782 x0:0.000316279236176 x1:4.00213085585 z:0.10551171145 
SN20: c:-0.204591922373 t0:58041.717041 x0:0.00152777688216 x1:-6.27716946127 z:0.0499359518834 
SN21: c:-0.507869455932 t0:58056.6734173 x0:0.0042426124476 x1:4.00946629043 z:0.0303952287559 
SN22: c:-0.0850727644535 t0:57793.394633 x0:0.00170299699314 x1:1.07892940757 z:0.0473846958413 
SN23: c:0.125559715562 t0:58004.3822148 x0:0.00105090667463 x1:-3.44070603224 z:0.0597833787675 
SN24: c:-0.248203142736 t0:57855.5256606 x0:0.000388684044195 x1:2.62970623607 z:0.0958234498466 
SN25: c:-0.200328963467 t0:57985.2726331 x0:0.00369582734302 x1:-2.48379700944 z:0.0325155821879 
SN26: c:0.312879472263 t0:57762.089651 x0:0.0433335363849 x1:-2.22870196838 z:0.00965750446391 
SN27: c:-0.0272445686168 t0:57960.8239485 x0:0.00142623562085 x1:-2.41701270226 z:0.0516201437072 
SN28: c:-0.275872183567 t0:58085.2618663 x0:0.00363736135828 x1:-3.58029684412 z:0.0327697654442 
SN29: c:0.449449464218 t0:57823.1102922 x0:0.0787892783707 x1:1.05368326206 z:0.00717541163979 
SN30: c:0.0404826440387 t0:57830.2957293 x0:0.00345410134001 x1:-1.33420097744 z:0.0336072410785 
SN31: c:0.0710455452148 t0:57949.6018115 x0:0.00175604852942 x1:4.589139354 z:0.0466870336265 
SN32: c:0.0128820740018 t0:57972.4169999 x0:0.00117548994792 x1:-4.64047140919 z:0.0566538938351 
SN33: c:-0.247936939057 t0:57900.4578005 x0:0.0017858686286 x1:0.518146552733 z:0.0463083154571 
SN34: c:0.0631852786602 t0:58017.5775527 x0:0.00033805726607 x1:-5.35171412568 z:0.102285868637 
SN35: c:0.0104809175434 t0:57837.1356419 x0:0.00333711966488 x1:1.82843055126 z:0.0341769684056 
SN36: c:-0.107969760447 t0:57791.4432191 x0:0.000887821422615 x1:3.45371927035 z:0.0648090738294 
SN37: c:-0.323816462528 t0:58032.8334175 x0:0.000260998825737 x1:-3.70103043188 z:0.115359765784 
SN38: c:0.286254771898 t0:57908.9141066 x0:0.00465017202787 x1:4.30759007504 z:0.0290611402696 
SN39: c:-0.0736644661378 t0:58106.0024654 x0:0.000350690623166 x1:0.458926712422 z:0.100548283266 
SN40: c:0.143768429819 t0:57794.1323019 x0:0.00330713984897 x1:0.496313702015 z:0.0343277442595 
SN41: c:0.25371452694 t0:58027.2544141 x0:0.00123345536272 x1:2.30498755278 z:0.0553582694878 
SN42: c:0.269715820033 t0:57769.308579 x0:0.000314852525165 x1:-2.00900288424 z:0.105734151097 
SN43: c:0.136438952686 t0:57883.6056208 x0:0.000376923727961 x1:0.616550344429 z:0.0972123755077 
SN44: c:0.312429698229 t0:58077.8280349 x0:0.000269914618991 x1:0.0313905870462 z:0.113578168472 
SN45: c:-0.0724122162157 t0:58026.016233 x0:0.000183477011784 x1:1.5970098562 z:0.135685042818 
SN46: c:0.460573101865 t0:57938.4780773 x0:0.00283287047414 x1:3.46314024945 z:0.0370173191904 
SN47: c:0.00788678627811 t0:58028.7034068 x0:0.434958381893 x1:0.270936228779 z:0.00306330899166 
SN48: c:0.34999517549 t0:57848.2217919 x0:0.000150631158661 x1:3.69517173714 z:0.148458611921 
SN49: c:0.110851156312 t0:57800.6909153 x0:0.0115909968894 x1:-2.11060779393 z:0.01855027435 
SN50: c:-0.151025745302 t0:58098.804498 x0:0.212587611894 x1:-0.0489714367087 z:0.00437742623871 
SN51: c:0.266198105993 t0:57789.292338 x0:0.000272548132214 x1:-6.01419074403 z:0.113067977037 
SN52: c:0.345359112828 t0:57903.1664207 x0:0.00346423816771 x1:-2.88244993733 z:0.0335592144804 
SN53: c:0.472540738369 t0:57854.665632 x0:0.000150987668863 x1:2.03141186693 z:0.148299193753 
SN54: c:-0.114325049866 t0:58000.4740039 x0:0.000174844277347 x1:1.82572781474 z:0.138708819609 
SN55: c:-0.366653698092 t0:58089.669433 x0:0.000149190247021 x1:-2.74914395658 z:0.149108423231 
SN56: c:-0.351050117521 t0:57838.1025716 x0:0.00267835282272 x1:-1.78707425165 z:0.0380416987551 
SN57: c:0.178841502612 t0:57868.2069548 x0:0.000183058085436 x1:-2.26857096667 z:0.135827078185 
SN58: c:0.670965580606 t0:57915.1415756 x0:0.000360000559401 x1:-2.88297711042 z:0.0993244101 
SN59: c:-0.316850692838 t0:57840.0029232 x0:0.000171747328412 x1:-1.94126922667 z:0.139845815341 
SN60: c:-0.426914646644 t0:57845.650597 x0:0.000306008171152 x1:-0.365605900545 z:0.107146121178 
SN61: c:0.0632380433185 t0:57840.3777724 x0:0.000519026190054 x1:1.6762527029 z:0.083636307706 
SN62: c:0.645511242281 t0:57931.73151 x0:0.0150559952952 x1:-7.92343993979 z:0.0163034083263 
SN63: c:-0.055777205071 t0:57879.7834842 x0:0.00212990805781 x1:-2.48547057784 z:0.0425203997525 
SN64: c:-0.0264530892183 t0:57829.3314566 x0:0.000227176271344 x1:-0.283566938742 z:0.123000691728 
SN65: c:-0.444242567687 t0:57834.5421765 x0:0.00607773987801 x1:2.97536607309 z:0.0254868976559 
SN66: c:-0.160775404839 t0:58073.2001904 x0:0.000171841336643 x1:0.0158729271096 z:0.139810873885 
SN67: c:-0.190678162009 t0:57836.7419029 x0:0.00354920079703 x1:-1.82366713751 z:0.0331646749771 
SN68: c:-0.282502459933 t0:58053.8938109 x0:0.000200152694508 x1:-2.7477234522 z:0.130380636077 
SN69: c:0.267918817165 t0:57939.0295198 x0:0.000427493591993 x1:-2.86624624141 z:0.0916386937719 
SN70: c:0.067176664821 t0:58027.60053 x0:0.00416750903879 x1:1.78461657372 z:0.0306618891543 
SN71: c:0.240444716781 t0:57911.4049812 x0:0.000224988998483 x1:-0.871188878453 z:0.123550489788 
SN72: c:0.079669109872 t0:57852.1993745 x0:0.000405211319575 x1:0.335919754776 z:0.0939707597289 
SN73: c:0.144970484562 t0:58049.4938099 x0:0.00783269602513 x1:0.253516377518 z:0.0225002839845 
SN74: c:0.158498824749 t0:57890.5514834 x0:0.000386250927586 x1:-2.25299597471 z:0.096105800062 
SN75: c:-0.190913737253 t0:57818.5673903 x0:0.000353034796605 x1:0.123781519793 z:0.100235751375 
SN76: c:-0.245408593887 t0:58037.5239915 x0:0.0136056297104 x1:-1.71956840491 z:0.0171397614793 
SN77: c:-0.585268882617 t0:57804.2182783 x0:0.000152726375602 x1:-3.95006299942 z:0.147529285934 
SN78: c:0.493211867568 t0:58110.3855007 x0:0.000962717949935 x1:1.5014786317 z:0.0623468597113 
SN79: c:-0.665177311281 t0:57784.8495342 x0:0.0245584874797 x1:-8.27857582602 z:0.0127985746867 
SN80: c:0.0151956783796 t0:58062.4614296 x0:0.000577795061623 x1:1.13537037251 z:0.0795008768223 
SN81: c:-0.00410856024544 t0:57921.6353806 x0:0.000213730316505 x1:2.6593359962 z:0.126506210249 
SN82: c:-0.104752827469 t0:57838.6484159 x0:0.0297437265151 x1:2.00382818198 z:0.0116396197601 
SN83: c:-0.260231783277 t0:57849.2965406 x0:0.00094353555958 x1:1.87987175474 z:0.0629502231542 
SN84: c:0.288495322126 t0:57937.712017 x0:0.000555232327257 x1:2.77733003734 z:0.08101338425 
SN85: c:-0.255997254545 t0:57974.7740825 x0:0.00293518927475 x1:-4.39244404461 z:0.0363832315 
SN86: c:-0.199232934815 t0:58080.1646082 x0:0.000237676758093 x1:-2.58971451253 z:0.1204628546 
SN87: c:-0.0392592653549 t0:58076.5265911 x0:0.00639214206 x1:7.8423288826 z:0.0248636038607 
SN88: c:-0.279592207033 t0:57993.0331333 x0:0.000512608227484 x1:-3.86276463906 z:0.0841289988447 
