SN1: c:0.602576300221 t0:57838.183246 x0:0.000959386078996 x1:-1.76281962193 z:0.0624503959213 
SN2: c:0.25477977722 t0:57858.5184144 x0:0.00313435517723 x1:-1.46266093854 z:0.0352377816457 
SN3: c:-0.172292188553 t0:57906.3224536 x0:0.112483766947 x1:1.81335874441 z:0.00601053339488 
SN4: c:-0.159036899338 t0:57921.1037387 x0:0.000674531572811 x1:-1.94789650768 z:0.0738738687132 
SN5: c:0.427281924429 t0:58077.1263079 x0:0.00215958629601 x1:-2.81461813984 z:0.042235951485 
SN6: c:0.0150809827594 t0:57833.6591475 x0:0.000865935054909 x1:4.12969942949 z:0.0655865129925 
SN7: c:-0.192231163694 t0:57951.243221 x0:0.000909984977081 x1:-3.94273030821 z:0.0640497502861 
SN8: c:0.0770618646659 t0:58083.7332176 x0:0.00143823664646 x1:1.26183121811 z:0.0514120512915 
SN9: c:-0.170744832447 t0:58044.546387 x0:0.000550041017693 x1:0.778716971349 z:0.0813740400169 
SN10: c:-0.102001109919 t0:58073.2430431 x0:0.0124561732276 x1:-5.25917578601 z:0.0179030239184 
SN11: c:0.424980576359 t0:57956.4236902 x0:0.00214676733185 x1:-1.67655728024 z:0.0423581038397 
SN12: c:0.248368292922 t0:57843.6829577 x0:0.000559710707199 x1:-2.20648769491 z:0.0807061605074 
SN13: c:-0.02074340105 t0:58041.4271394 x0:0.000836266316156 x1:1.2007846791 z:0.0666873235914 
SN14: c:0.106878547432 t0:57877.5808596 x0:0.000538467466025 x1:-5.45744132242 z:0.0821961328092 
SN15: c:0.0413690343114 t0:58085.1775082 x0:0.0140778380458 x1:3.41954922808 z:0.0168534263108 
SN16: c:0.146398030205 t0:57903.5504164 x0:0.00063400088876 x1:0.977920072734 z:0.0760793718514 
SN17: c:-0.121263799015 t0:57980.6824358 x0:0.0393384318353 x1:6.40927354347 z:0.0101324600204 
SN18: c:0.305271254272 t0:57876.764581 x0:0.000769670962625 x1:-2.81655974932 z:0.0693791265284 
SN19: c:-0.559097991195 t0:58033.1429442 x0:0.00242027083707 x1:4.75524718785 z:0.0399626160701 
SN20: c:0.484924900254 t0:57930.9522312 x0:0.00347559971471 x1:-3.69345797525 z:0.0335056313967 
SN21: c:-0.353943779374 t0:57766.0224977 x0:0.00144481776689 x1:-0.940138720481 z:0.0512990146728 
SN22: c:0.282305040803 t0:57931.1180093 x0:0.00144891367096 x1:-2.84877507716 z:0.0512290440886 
SN23: c:0.0469592336474 t0:57969.2122814 x0:0.0117931019324 x1:1.82485841677 z:0.0183927769718 
SN24: c:0.0437363731344 t0:58098.8279275 x0:0.00249768713822 x1:-1.94369881613 z:0.0393558065529 
SN25: c:0.462781770326 t0:57847.7880004 x0:0.00149536406717 x1:1.25393476568 z:0.0504553013124 
SN26: c:-0.269551636933 t0:58019.9550595 x0:0.0117518266814 x1:-2.53812946724 z:0.0184246146345 
SN27: c:0.200014165338 t0:58019.8954388 x0:0.864226727664 x1:0.580007267608 z:0.0021746516461 
SN28: c:0.58593031129 t0:58099.0904768 x0:0.00170076814301 x1:-1.50856918734 z:0.0474147039112 
