SN1: c:-0.03505828984749131 mwebv:0.08863503500258732 t0:58791.83483856664 x0:0.0004068272780025446 x1:0.2283324691629908 z:0.13692890168899033 
SN2: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN3: c:0.016655792126100567 mwebv:0.026206583048486075 t0:58593.76621618428 x0:0.0008398194733535995 x1:-0.061603109452377805 z:0.13854223254625572 
SN4: c:0.06733528181687881 mwebv:0.03352155262075884 t0:58601.5475143951 x0:0.0008670962053153049 x1:-0.42796720827344253 z:0.07722629668028227 
SN5: c:0.01711835201098945 mwebv:0.11113649158627056 t0:58732.03564450662 x0:0.00029766516798925566 x1:0.0506139184052991 z:0.11534609608853157 
SN6: c:-0.07025087048923123 mwebv:0.038269385223210925 t0:58789.5948978937 x0:0.0018044983477016768 x1:0.09686167973276091 z:0.049447725912269896 
SN7: c:0.04097083213213951 mwebv:0.09808896018432106 t0:58898.696835653915 x0:0.0007341910663035844 x1:-0.21489072300807785 z:0.09065696782072542 
SN8: c:-0.022257467593883876 mwebv:0.026268730070779563 t0:58823.82577025556 x0:0.00022393813613285675 x1:0.19685920843573798 z:0.13546456684524444 
SN9: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN10: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN11: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN12: c:-6.705569652998071e-05 mwebv:0.08491757147031048 t0:58721.713353745195 x0:0.001280229002616155 x1:-0.25512312837177914 z:0.07226368979818074 
SN13: c:-0.012431184800691995 mwebv:0.1964551692363481 t0:58892.92761366755 x0:0.0006912247643583027 x1:-0.07008818867590526 z:0.09174783753780476 
SN14: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN15: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN16: c:-0.07667408373943962 mwebv:0.04116959911437469 t0:58884.332209265005 x0:0.0007347320550981545 x1:0.17497000773690005 z:0.06899291382637174 
SN17: c:-0.03135794998194854 mwebv:0.06453831664214746 t0:58756.534090028974 x0:0.00036819338979699514 x1:-0.29202498070084004 z:0.14179064742639202 
SN18: c:0.09539354711180331 mwebv:0.2716456841988253 t0:58844.06788214445 x0:0.0036808239184144107 x1:-0.5585276527649794 z:0.03605791843391156 
SN19: c:0.05455189767545684 mwebv:0.1083311448589408 t0:58871.15098621355 x0:0.00015184606463416526 x1:0.19244770260324487 z:0.13053229725062282 
SN20: c:-0.06036425288245969 mwebv:0.3803454039035288 t0:58650.25291608342 x0:0.0004089245770670145 x1:-0.19130138243797443 z:0.1122086894784112 
SN21: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN22: c:-0.009158407280033885 mwebv:0.017153668368515472 t0:58709.85466047311 x0:0.0007186796882704631 x1:-0.0633310989960004 z:0.14118018501318144 
SN23: c:-1.0107534197234311 mwebv:0.08559995729042605 t0:58596.82029768692 x0:0.0012951878735504101 x1:-1.1524052800306677 z:0.14116327430729322 
SN24: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN25: c:-0.012787020769131676 mwebv:0.08131195627687689 t0:58927.00911930908 x0:0.0004762258777446216 x1:0.19941225639465876 z:0.0920169753036718 
SN26: c:-0.021019400831124226 mwebv:0.013505474250351562 t0:58840.31665991193 x0:0.00043668819275875006 x1:-0.1350921940410499 z:0.14461700550916512 
SN27: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN28: c:0.05611717826837238 mwebv:0.006928284866459403 t0:58781.55957545279 x0:0.0004711413116876241 x1:-0.22691995144520605 z:0.0891787092656259 
SN29: c:0.019446511294726923 mwebv:0.28773877749832605 t0:58848.88870580585 x0:0.0009160743421021708 x1:-0.1995195050443496 z:0.09147262037212775 
SN30: c:0.0023185336641696882 mwebv:0.1746267147472989 t0:58692.865507713315 x0:0.0006207695849861822 x1:0.06444107151248657 z:0.10687592262480879 
SN31: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN32: c:0.028674577616249558 mwebv:0.16843720991152775 t0:58881.5709687037 x0:0.0003140045294012673 x1:-0.0019526802172066876 z:0.1256400325102239 
SN33: c:-0.01662553527903338 mwebv:0.14620508110566507 t0:58711.25026025318 x0:0.00024463771894854856 x1:0.03863675813668251 z:0.135101110519326 
SN34: c:-0.0016739043259927317 mwebv:0.051563299259353296 t0:58663.66262219665 x0:0.0009466487310873655 x1:-0.18993895785175408 z:0.07880313221184417 
SN35: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN36: c:0.019257801169034014 mwebv:0.3095059947200866 t0:58831.284941242266 x0:0.002498848897378334 x1:-0.21966689435560688 z:0.11606284870907745 
SN37: c:0.01252044738438971 mwebv:0.2278330874824347 t0:58718.210479268084 x0:0.0004428710917537769 x1:0.01152224184647293 z:0.12213197958895909 
SN38: c:-0.03451536252021447 mwebv:0.1315130130458922 t0:58860.592206533816 x0:0.000534045209355904 x1:0.3604977434282483 z:0.11692114854669076 
SN39: c:0.017692230880554285 mwebv:0.056189509586659775 t0:58707.17181368642 x0:0.00025727169773576977 x1:0.12845649184495492 z:0.1488275294588743 
SN40: c:0.04898454395009823 mwebv:0.1271804860615206 t0:58583.860149773325 x0:0.0003230202004102547 x1:-0.046158171481094856 z:0.13929570268202265 
SN41: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN42: c:-0.2874817732610073 mwebv:0.011432545648808705 t0:58848.63855172193 x0:0.0014302717583948416 x1:0.5185185707063543 z:0.06820706592601887 
SN43: c:0.01695496592969889 mwebv:0.20687514473954666 t0:58847.33886814649 x0:0.003760857956796799 x1:0.3256192773139593 z:0.02884285667035686 
SN44: c:0.05875194836367446 mwebv:0.07935230371510393 t0:58888.3443934789 x0:0.0008400981601043395 x1:-0.443799103381401 z:0.07212785264286203 
SN45: c:0.0006058879791942171 mwebv:0.007907864616205589 t0:58769.95846290793 x0:0.0006474496983689093 x1:0.042114526148664705 z:0.14959083851725286 
SN46: c:-0.02173530833741433 mwebv:0.05547724827549473 t0:58653.43547747389 x0:0.0001639646367783498 x1:0.03452909478848743 z:0.14983701836116672 
SN47: c:0.0039057309356094003 mwebv:0.22312484683830094 t0:58865.217260562444 x0:0.0006325324233515967 x1:-0.1422183305393555 z:0.06811714638854995 
SN48: c:-0.01125262627629201 mwebv:0.08669173911959945 t0:58757.69585399132 x0:0.0006163503337332725 x1:-0.15999357178587026 z:0.12753299409802116 
SN49: c:-0.01347596103594701 mwebv:0.025404076966235513 t0:58818.37939114906 x0:0.0006443137562281129 x1:0.29633395054911993 z:0.11648356006603391 
SN50: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN51: c:-0.03248176126103998 mwebv:0.15270228329265886 t0:58649.85710325805 x0:0.001189782248202444 x1:-0.21959832597217482 z:0.09350218931345156 
SN52: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN53: c:0.01195218585004274 mwebv:0.07961856256437523 t0:58672.31523458114 x0:0.0002722912160731955 x1:-0.07221015435949849 z:0.13533973073622063 
SN54: c:-0.03872387360631943 mwebv:0.033781483050158025 t0:58671.20684814277 x0:0.00039385149721963186 x1:-0.15343506347614505 z:0.1173200096075192 
SN55: c:0.19130596668161412 mwebv:0.15128346463461892 t0:58958.22406220059 x0:0.00013959758909476587 x1:-1.1805079980151618 z:0.12893821689704377 
SN56: c:-0.013984678172421263 mwebv:0.144356684983912 t0:58688.30227242528 x0:0.0037544269858330844 x1:-0.04020006812899274 z:0.06506501244199242 
SN57: c:-0.05222179233847903 mwebv:0.02455289710786708 t0:58734.08022958509 x0:0.0017424526506845592 x1:-1.3377160456475146 z:0.04242463282055324 
SN58: c:0.006520277242262398 mwebv:0.11070386095234466 t0:58850.37147736255 x0:0.0009721768010912692 x1:0.039430412573682024 z:0.08015043760634032 
SN59: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN60: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN61: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN62: c:-0.022776007012407114 mwebv:0.026214101622992862 t0:58720.7533493779 x0:0.0006249406843646881 x1:0.07179663805166137 z:0.10818342999433639 
SN63: c:0.029299030143364324 mwebv:0.022180478742489247 t0:58927.356370244954 x0:0.000996146785871703 x1:-0.10264394321505 z:0.07683307330890415 
SN64: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN65: c:0.018563177987278457 mwebv:0.13324863499350906 t0:58900.651359904325 x0:0.000743083625945617 x1:-0.23888613410071757 z:0.0856585755083524 
SN66: c:-0.18266206332666687 mwebv:0.018871577360615746 t0:58923.2747014383 x0:0.00014049989207213224 x1:-0.13199715328519998 z:0.1330939102516297 
SN67: c:0.004360995714892957 mwebv:0.06312894635949914 t0:58566.658360160145 x0:0.0004919667362262164 x1:0.09362992240295161 z:0.1395212965144502 
SN68: c:-0.5875247327724501 mwebv:0.006747914129931409 t0:58893.161912994 x0:0.0005412564841874208 x1:-0.03848462365657674 z:0.11888003300332368 
SN69: c:0.08347132614677288 mwebv:0.18208488962514396 t0:58779.41781013552 x0:0.0005129206803209491 x1:-0.020021633355194843 z:0.12218819371581435 
SN70: c:0.06686623545090874 mwebv:0.1397343340599922 t0:58734.532147874714 x0:0.000801851872265433 x1:-0.1030038921223397 z:0.08185253839754422 
SN71: c:-0.02040377333406869 mwebv:0.011532121481574287 t0:58604.273071550604 x0:0.0004191602267597612 x1:7.729574250274054 z:0.10387714995650667 
SN72: c:0.006289573408963568 mwebv:0.05470591676370384 t0:58916.16814458264 x0:0.0012224097303926511 x1:0.14653355397782908 z:0.0805744468102447 
