SN1: c:0.542218075526 t0:57972.3143386 x0:0.00970122290163 x1:-0.603353515063 z:0.0202512296778 
SN2: c:-0.121064585971 t0:57942.4289719 x0:0.0339034239844 x1:-4.08300114645 z:0.0109081464692 
SN3: c:-0.217218220796 t0:58063.7446867 x0:0.0392193145369 x1:2.35852705992 z:0.0101477202927 
SN4: c:0.536822552388 t0:57920.3598317 x0:0.00560512218688 x1:-1.65865873822 z:0.0265195149412 
SN5: c:-0.324274383798 t0:58013.1015143 x0:0.00998934009255 x1:5.42552455673 z:0.0199613205083 
SN6: c:-0.210441793424 t0:57822.8276146 x0:0.00229578602795 x1:4.38495643276 z:0.0410007693709 
SN7: c:0.159206341829 t0:57918.4652907 x0:0.00328821627093 x1:0.799252209559 z:0.034423958375 
SN8: c:0.174102886778 t0:57782.776372 x0:0.000519250568746 x1:1.16773689944 z:0.0836192423547 
SN9: c:0.168163623872 t0:58028.7814785 x0:0.000410774868878 x1:-0.437044818219 z:0.0933714258542 
SN10: c:-0.0989109224847 t0:57768.7184869 x0:0.00171826000686 x1:4.20860241917 z:0.0471807406517 
SN11: c:-0.206950870732 t0:57912.9466697 x0:0.00713926228003 x1:1.97586947753 z:0.0235494640964 
SN12: c:-0.108508166537 t0:58088.2411881 x0:0.000494812433382 x1:2.45217503985 z:0.0855431319052 
SN13: c:-0.184715420946 t0:58063.9924235 x0:0.00098155412197 x1:1.67685916531 z:0.0617712163296 
SN14: c:0.38294354478 t0:58043.3605539 x0:0.000918909014229 x1:-0.332571990147 z:0.0637515831189 
SN15: c:0.00952395375562 t0:58069.5463912 x0:0.000706513343178 x1:-4.42990500177 z:0.0722650963754 
SN16: c:0.256477025207 t0:57764.3648184 x0:0.000480647149581 x1:2.08471630509 z:0.0867224320434 
SN17: c:0.0111115408803 t0:58014.4408655 x0:0.743591451379 x1:0.361854804289 z:0.00234412756615 
SN18: c:-0.285253134757 t0:57789.280195 x0:0.00647009135203 x1:0.314246556754 z:0.024716061157 
SN19: c:-0.158525084627 t0:58052.2406808 x0:0.00577701821914 x1:2.06321943022 z:0.0261294838781 
SN20: c:0.167846079112 t0:58023.4946838 x0:0.00036533666199 x1:4.75089279094 z:0.0986432748208 
SN21: c:-0.0141821984255 t0:57910.9116161 x0:0.000382862744138 x1:-2.63441974386 z:0.0965032782257 
SN22: c:-0.0232333429228 t0:57938.9434236 x0:0.000579313558256 x1:-3.56485636792 z:0.0794021624207 
SN23: c:0.348835016794 t0:58027.6461411 x0:0.000392305459838 x1:-2.52852528539 z:0.0954078880709 
SN24: c:0.161592648252 t0:57761.5793456 x0:0.000478300713786 x1:-1.62835189362 z:0.0869226374538 
SN25: c:0.128670510063 t0:57938.021023 x0:0.000401737660382 x1:-1.27299845443 z:0.0943510120952 
SN26: c:-0.202872647801 t0:58029.4750239 x0:0.00564588386172 x1:0.521411184865 z:0.0264254380069 
SN27: c:0.0659828170563 t0:57986.3381716 x0:0.00219006909787 x1:4.45935337681 z:0.0419497169177 
SN28: c:-0.140716300426 t0:58062.380062 x0:0.00217144544451 x1:-3.62948151566 z:0.0421238913155 
SN29: c:0.184253029827 t0:57895.1220005 x0:0.000513899065178 x1:-1.25665775828 z:0.0840291895109 
SN30: c:0.324632601541 t0:57803.2811754 x0:0.0163003460051 x1:1.67843926928 z:0.0156760504116 
SN31: c:-0.101759789844 t0:57804.8496533 x0:0.0299388119884 x1:-6.43457606829 z:0.0116019599478 
SN32: c:0.118622402905 t0:57992.5308718 x0:0.000428978782513 x1:3.07784583767 z:0.0914895014132 
SN33: c:-0.778830365993 t0:58043.9668765 x0:0.00200660231502 x1:-0.971638573489 z:0.043767685355 
SN34: c:0.388184377168 t0:57762.8195936 x0:0.000884664013721 x1:-2.49129126883 z:0.0649194969473 
SN35: c:-0.255825723891 t0:57926.0130211 x0:0.00803952216121 x1:-2.03318769103 z:0.0222136709185 
SN36: c:0.00759738721099 t0:57763.3431543 x0:0.00943270137236 x1:1.4733634946 z:0.0205331767467 
SN37: c:-0.571678002113 t0:57986.221829 x0:0.39731671213 x1:3.5156631758 z:0.00320479507464 
SN38: c:0.113971795905 t0:57981.2485499 x0:0.00151375954592 x1:4.67353102597 z:0.0501585497105 
SN39: c:0.111890579405 t0:58058.1256676 x0:0.000762646184248 x1:2.05693493916 z:0.0696828343318 
SN40: c:-0.0351923473109 t0:58037.0433859 x0:0.000907339933182 x1:-4.2310018353 z:0.0641389460554 
SN41: c:0.133438899351 t0:57763.9975344 x0:0.00870725114869 x1:-4.62602438343 z:0.0213584146066 
SN42: c:-0.0950548452595 t0:57780.1456061 x0:0.000535736851676 x1:8.55099770331 z:0.0823938330676 
SN43: c:0.411323828557 t0:58019.2226278 x0:0.000694060973698 x1:3.72184401686 z:0.0728786671264 
SN44: c:-0.042973949351 t0:57947.542822 x0:0.00629211017168 x1:-4.48686686785 z:0.0250568991156 
SN45: c:-0.0469467100359 t0:58062.0363142 x0:0.00109393043299 x1:-3.5157491058 z:0.0586439265283 
SN46: c:-0.283147506961 t0:58093.0163889 x0:0.00763546985202 x1:5.762747373 z:0.0227842534056 
SN47: c:-0.132486415025 t0:57832.7410643 x0:0.00599918480091 x1:-2.52042668318 z:0.0256501399062 
SN48: c:0.0564393998363 t0:58054.3841671 x0:0.000441906494773 x1:2.79471515629 z:0.0902216168088 
SN49: c:0.244031846491 t0:57870.4241361 x0:0.000404218017154 x1:-1.72460800474 z:0.0940790127272 
SN50: c:-0.507168224457 t0:58070.3449442 x0:0.000820662483263 x1:2.30774249875 z:0.067289387696 
SN51: c:-0.172243629153 t0:58117.4936439 x0:0.00225308716845 x1:2.55780889817 z:0.0413761528019 
SN52: c:-0.0307494460994 t0:57834.4992402 x0:0.000809479193317 x1:2.0636320159 z:0.0677312415075 
SN53: c:-0.201737293504 t0:57958.0057918 x0:0.00228143023143 x1:-5.05261092978 z:0.0411258227033 
SN54: c:0.474171416521 t0:58034.4457459 x0:0.000398513873603 x1:4.79777648867 z:0.0947081774546 
SN55: c:0.44733947033 t0:57942.8524641 x0:0.000470367552523 x1:4.37619287404 z:0.0876101742493 
SN56: c:0.148917563224 t0:57968.2182979 x0:0.203024138472 x1:2.46131294319 z:0.00447899935962 
SN57: c:-0.380325232314 t0:57811.1781253 x0:0.00166122978948 x1:-3.25255311924 z:0.0479568077403 
SN58: c:0.15346851341 t0:57993.47106 x0:0.00243947061196 x1:3.19000947964 z:0.0398094822584 
SN59: c:-0.0765227482195 t0:57898.455046 x0:0.00711310686346 x1:-4.39964604335 z:0.0235919816744 
SN60: c:-0.317534983222 t0:57878.3762689 x0:0.0103102901281 x1:-2.92903130198 z:0.0196526577319 
SN61: c:0.252801762468 t0:57930.872883 x0:0.000819591602521 x1:0.856795668323 z:0.0673313179125 
SN62: c:0.361493135059 t0:57958.3931903 x0:0.00163674316284 x1:-1.5503688731 z:0.0483021312358 
SN63: c:-0.533141852123 t0:58013.900562 x0:0.00136501775785 x1:-5.49128693484 z:0.0527229868175 
